type,item,n,itemCorrect,catCorrect
promotion,sexual activity,5,sex,
promotion,sexual acts,3,sex,
promotion,sexual behavior,2,sex,
promotion,sexual connotation,1,sex,
promotion,sexual connotations,7,sex,
promotion,sexual content:NA,1,sex,
promotion,sexual harassment,1,,
promotion,sexual images,1,sex,
promotion,sexual implications,1,sex,
promotion,sexual innuendo,20,double meanings,
promotion,sexual innuendos,3,double meanings,
promotion,sexual messages,1,sex,
promotion,sexual messaging,1,sex,
promotion,sexual nature,4,sex,
promotion,sexual reference,1,sex,
promotion,sexual references,5,sex,
promotion,sexual remarks,2,sex,
promotion,sexual symbolism,1,sex,
promotion,sexual tone,1,sex,
promotion,sexual undertones,1,sex,
promotion,sexuality,2,sex,
promotion,sexualized actions,1,sex,
promotion,sexually explicit,9,sex,
promotion,sexually implied,1,sex,
promotion,sexually inappropriate,1,sex,
promotion,sexually lewd,1,sex,
promotion,sexually offensive,1,sex,
promotion,sexually oriented,1,sex,
promotion,sexually related,1,sex,
promotion,sexually suggestive,24,sex,
promotion,skull,1,skulls,
promotion,skulls,4,,
promotion,social injustice,1,,
promotion,socially unacceptable,2,,
promotion,substance abuse,1,,
promotion,subversive activity,1,,
promotion,suggestive,30,,
promotion,suggestive language,1,suggestive,
promotion,suggestive phrases,2,suggestive,
promotion,suggestive pictures,1,suggestive,
promotion,suggestive slogans,3,suggestive,
promotion,suggestive symbols,1,suggestive,
promotion,suicide,7,,
promotion,swastika,1,swastikas,
promotion,swastikas,3,,
promotion,symbols of hate,1,,
promotion,threat,1,threatening,
promotion,threatening,2,,
promotion,threats,1,threatening,
promotion,tobacco,241,,
promotion,unhealthy products,1,,
promotion,unlawful acts,1,illegal,
promotion,vandalism,1,,
promotion,vaping,1,,
promotion,violence,152,,
promotion,violent groups,1,,
promotion,vulgarity/profanity,198,,
promotion,weapon,2,weapons,
promotion,weapons,44,,
promotion,NA,9,,
shirt,tube strapless,142,,
shirt,spaghetti string straps,135,,
shirt,halter tops,130,,
shirt,muscle shirts open sides,100,,
shirt,tank tops,95,,
shirt,crop top,62,,
shirt,backless,57,,
shirt,sleeveless,45,,
shirt,off the shoulder,21,,
shirt,undershirts,21,,
shirt,racer t back,13,,
shirt,one shoulder,12,,
shirt,too short to tuck in,7,short shirts,
shirt,unbuttoned,6,unfastened,
shirt,absence of shirt,5,,
shirt,bandeau,3,,
shirt,too short to touch top of pants,3,,
shirt,unzipped,3,unfastened,
shirt,excessively long,2,,
shirt,longer than fingertips,2,excessively long,
shirt,longer than mid-thigh,2,excessively long,
shirt,loose fitting tank tops,2,,
shirt,more than one button undone,2,unfastened,
shirt,shorter than waist level,2,short shirts,
shirt,too short to overlap pants,2,short shirts,
shirt,un-hemmed,2,,
shirt,un-hemmed sleeves,2,un-hemmed,
shirt,untucked shirts,2,untucked,
shirt,A-line tank tops,1,,
shirt,absence of shirts,1,absence of shirt,
shirt,altered shirts,1,,
shirt,altered shirts that expose the chest,1,,
shirt,appropriately fastened,1,unfastened,
shirt,athletic jersey without t-shirt,1,athletic jerseys,
shirt,athletic jerseys,1,athletic jerseys,
shirt,athletic jerseys with large arm holes,1,athletic jerseys,
shirt,basketball jerseys,1,athletic jerseys,
shirt,basketball jerseys without a t-shirt,1,athletic jerseys,
shirt,basketball shirts,1,athletic jerseys,
shirt,bottom of shirt overlaps tops of bottoms,1,short shirts,
shirt,burnout shirts,1,,
shirt,buttoned properly,1,unfastened,
shirt,cut out shirts,1,cut-out tops,
shirt,cut-off,1,un-hemmed,
shirt,cut-off sleeveless,1,un-hemmed,
shirt,cut-off sleeves,1,un-hemmed,
shirt,cut-out tops,1,,
shirt,diagonal shirts,1,,
shirt,dirty,1,,clothing
shirt,disruptive,1,,
shirt,excessively long t-shirts,1,excessively long,
shirt,fringed,1,,
shirt,good taste,1,bad taste,
shirt,hem must extend over pant,1,short shirts,
shirt,inappropriate length,1,,
shirt,inappropriately fastened,1,unfastened,
shirt,key-hole,1,,
shirt,lace,1,,
shirt,long enough to cover midriff,1,short shirts,
shirt,long enough to tuck into pants,1,short shirts,
shirt,longer than finger-tip length,1,excessively long,
shirt,longer than fingertip length,1,excessively long,
shirt,longer than the natural crotch,1,excessively long,
shirt,longer than the wrist,1,excessively long,
shirt,more than 2 inch gap at armpit,1,,
shirt,must touch top of lower garment,1,short shirts,
shirt,not appropriately buttoned,1,unfastened,
shirt,not intact t-shirts,1,,
shirt,not long enough to tuck in,1,short shirts,
shirt,not worn with overalls,1,,
shirt,overly long,1,excessively long,
shirt,oversized,1,,
shirt,oversized jerseys,1,,
shirt,shirts longer than fingertip length,1,excessively long,
shirt,shirts longer than fingertips,1,excessively long,
shirt,shirts that attract unnecessary attention,1,,
shirt,shirts that don't touch the waist of the pants,1,short shirts,
shirt,shirts tied at the waist,1,,
shirt,shirts with large gaping holes,1,shirts with holes,
shirt,shirts with rips,1,shirts with holes,
shirt,shirts worn around shoulders,1,,
shirt,short shirts,1,,
shirt,shorter than the waist,1,short shirts,
shirt,shorter than waist length,1,short shirts,
shirt,shoulder-less blouses,1,,
shirt,sleeveless jersey,1,athletic jerseys,
shirt,sleeveless without hem,1,athletic jerseys,
shirt,sling shirt,1,,
shirt,sports bra,1,,
shirt,sports jerseys without a t-shirt,1,athletic jerseys,
shirt,straps that do not cover bra strap,1,,
shirt,sun blouse,1,,
shirt,sweaters with straps,1,,
shirt,tank tops without a t-shirt,1,tank tops,
shirt,too short to cover midriff,1,short shirts,
shirt,too short to cover midsection,1,short shirts,
shirt,too short to meet the top of pants,1,short shirts,
shirt,too short to overlap at waistline,1,short shirts,
shirt,too short to overlap bottoms,1,short shirts,
shirt,too short to touch pants,1,short shirts,
shirt,too short to touch the lower garment,1,short shirts,
shirt,tops with slits,1,,
shirt,un-fastened,1,unfastened,
shirt,unbuttoned below sternum,1,unfastened,
shirt,unbuttoned shirts unless over another shirt,1,unfastened,
shirt,"underarm openings lower than 3"" below arm pit",1,,
shirt,unsafe untucked shirts,1,,
shirt,untidy,1,,
shirt,untucked long shirttails,1,excessively long,
shirt,untucked shirts longer than wrist level,1,excessively long,
shirt,untucked shirts that extends past finger tips,1,excessively long,
shirt,vests,1,,
shorts,bike shorts,41,,
shorts,cutoffs un hemmed,34,,
shorts,athletic gym shorts,15,,
shorts,boxer shorts,2,,
shorts,hip hugger shorts,2,,
shorts,athletic shorts shorter than the knee,1,,
shorts,boxers,1,boxer shorts,
shorts,bubble shorts,1,,
shorts,calf length shorts with long socks,1,,
shorts,Daisy Dukes,1,,
shorts,double mesh without a drawstring,1,,
shorts,inappropriate shorts,1,,
shorts,low-riding,1,,
shorts,pocket lining visible,1,,
shorts,rolled at the waist,1,,
shorts,shorts,1,,
shorts,shorts that expose the pockets,1,pocket lining visible,
shorts,shorts worn October through April,1,,
shorts,spandex shorts,1,,
shorts,visible pockets,1,pocket lining visible,
shorts,wide-legged shorts,1,,
shorts,words printed across the rear,1,,
shorts,worn between fall break and spring break,1,,
shorts,zipper less shorts,1,,
skirt.dress,backless,34,,
skirt.dress,un hemmed,14,,
skirt.dress,strapless dresses,13,,
skirt.dress,spaghetti strap dresses,5,,
skirt.dress,halter dresses,3,,
skirt.dress,off the shoulder,3,,
skirt.dress,strapless,3,strapless dresses,
skirt.dress,sleeveless dresses,2,,
skirt.dress,spaghetti strapped dresses,2,,
skirt.dress,sundresses,2,,
skirt.dress,causes undue attention,1,,
skirt.dress,cheerleading skirt without sweatpants,1,,
skirt.dress,distasteful,1,,
skirt.dress,dresses,1,,
skirt.dress,excessively long,1,,
skirt.dress,inappropriate dresses,1,,
skirt.dress,low-riding,1,,
skirt.dress,one shoulder,1,,
skirt.dress,rolled at the waist,1,,
skirt.dress,rompers,1,,
skirt.dress,skirts,1,,
skirt.dress,tank top dresses,1,,
undergarment,visible,182,,
undergarment,visible  specifically including bras and or bra straps,55,,
undergarment,none,25,,
undergarment,undergarments as outergarments,17,,
undergarment,braless,4,,
undergarment,bottom half of undergarments,1,,
undergarment,boxer-style briefs,1,,
undergarment,"visible 4"" or more above knee",1,,
undergarment,visible sports bras,1,,
rationale,cleanliness,,clean,
rationale,decent,,decency,
rationale,indecent,,decency,
rationale,orderly,,order,
rationale,poor taste,,good taste,
rationale,bad taste,,good taste,
rationale,good sense,,common sense,
rationale,good common sense,,common sense,
clothing,dirty clothing,,dirty,
grooming,dirty clothing,,dirty,clothing
clothing,clothing that may damage property,,damaging to school property,
rationale,damage,,damaging,
shorts,boxer shorts,,undergarments as outergarments,undergarment
undergarment,boxer-style briefs,,undergarments as outergarments,
accessories,chain wallets,,wallet chains,
footwear,cleated shoes,,cleats,
footwear,metal cleats,,cleats,
pants,windpants,,wind pants,
pants,long pants,,dangerously long pants,
pants,very long pants,,dangerously long pants,
clothing,undergarments as outergarments,,undergarments as outergarments,undergarment
accessories,face masks,,masks,
grooming,gang related tattoos,,gang-related tattoos,
accessories,no jackets in classrooms,,jackets,
accessories,outside apparel,,outergarments,
clothing,affiliated with Insane Clown Posse,,Insane Clown Posse,promotion
clothing,bizarre clothing,,bizarre,
clothing,clothing not worn in the manner for which it was intended,,clothing not worn in the intended manner,
clothing,excessively tight,,too tight,
clothing,extreme clothing,,extremes,
clothing,holes above knee,,holes above the knee,
clothing,onesie pajamas,,onesies,
clothing,with holes in clothing above knees,,holes above the knee,
clothing,open toe shoes,,open-toe shoes,
grooming,geometric or unusual pattern shaved into hair,,geometric patterns in hair,
grooming,sideburns beyond earlobe,,sideburns longer than bottom of ear,
grooming,sideburns past bottom of earlobe,,sideburns longer than bottom of ear,
grooming,wearing of a scent that has negative impact on others,,wearing a scent that has a negative impact on others,
headwear,cat ears,,animal ears,accessories
headwear,face covering,,hides face,
headwear,cover face,,hides face,
headwear,face obstructing,,hides face,
headwear,headwear that obscures a students identity,,hides face,
headwear,obscure face,,hides face,
headwear,obscures the face,,hides face,
headwear,shower cap,,shower caps,
headwear,skull caps,,beanie skull cap,
pants,one pant leg up one pant leg down,,rolled up pant leg,
pants,one leg rolled up,,rolled up pant leg,
pants,pajama pants,,pajamas,clothing
pants,pants with words on seat,,words printed across the rear,
pants,undergarments as outergarments,,undergarments as outergarments,undergarment
pants,with holes above knee without tights,,with holes above knee,
promotion,anarchical behavior,,anarchy,
promotion,demeaning phrases,,discrimination,
promotion,derogatory,,discrimination,
promotion,illegal actions,,illegal activities,
promotion,illegal for use by minors,,illegal activities,
promotion,illegal items,,illegal materials,
promotion,illegal materials,,illegal materials,
promotion,illegal items,,illegal materials,
promotion,illegal products,,illegal materials,
promotion,illegal substances,,illegal materials,
promotion,in appropriate language,,inappropriate language,
promotion,in appropriate words or pictures,,inappropriate words or pictures,
promotion,inappropriate/offensive language,,inappropriate language,
promotion,Insane Clown Posse and related groups,,Insane Clown Posse,
promotion,obscene gestures,,obscene,
promotion,obscene images,,obscene,
promotion,obscene language,,obscene,
promotion,obscene language/symbols,,obscene,
promotion,obscene material,,obscene,
promotion,obscene or suggestive emblems,,obscene,
promotion,obscentities,,obscene,
promotion,prison activities,,prison culture,
promotion,race,,discrimination,
promotion,racial harassment,,discrimination,
promotion,racial intolerance,,discrimination,
promotion,satan,,Satanic,
promotion,sexual content,,sex,
promotion,sexually explicit or sexually related,,sex,
promotion,weapons.,,weapons,
rationale,attention getting,,attracts attention,
rationale,attract undue attention,,attracts attention,
rationale,attracts the attention,,attracts attention,
rationale,attracts undue attention,,attracts attention,
rationale,conducive to a positive productive school environment,,conducive to learning,
rationale,conducive to education,,conducive to learning,
rationale,conducive to teaching and learning,,conducive to learning,
rationale,conducive to the learning environment,,conducive to learning,
rationale,conductive to a good learning environment,,conducive to learning,
rationale,decent/indecent,,decency,
rationale,detriment of the educational process,,detriment,
rationale,derimental,,detriment,
rationale,detrimental to the learning process,,detriment,
rationale,employability,,professional business,
rationale,future job employment,,professional business,
rationale,offending,,offensive,
rationale,offensive to the educational process,,offensive,
rationale,offensive.,,offensive,
rationale,positive self image,,positive self-image,
rationale,productive educational program,,productivity,
rationale,productive learning environment,,productivity,
rationale,proper behavior,,proper,
rationale,proper etiquette,,proper,
rationale,standards of decency,,decency,
rationale,undue attention to the wearer,,attracts attention,
rationale,violate rules of decency,,decency,
rationale,workplace,,professional business,
rationale,workplace standard,,professional business,
shirt,altered shirts that expose the chest,,altered shirts,
shirt,cut out designs,,cut-out tops,
shirt,cut-out shirts,,cut-out tops,
shirt,excessively long shirts,,excessively long,
shirt,fishnet or mesh,,fishnet mesh attire,clothing
shirt,jerseys,,athletic jerseys,
shirt,large armholes that expose undergarments,,muscle shirts open sides,
shirt,low cut,,low necklines,clothing
shirt,low necklines,,low necklines,clothing
shirt,low-cut shirts,,low necklines,clothing
shirt,more than 2 inch gap at armpit,,muscle shirts open sides,clothing
shirt,must cover waistband,,short shirts,
shirt,one shoulder tops,,one shoulder,
shirt,one-shoulder top,,one shoulder,
shirt,one-shoulder tops,,one shoulder,
shirt,oversized,,excessively long,
shirt,oversized shirt,,excessively long,
shirt,oversized sweatshirts,,excessively long,
shirt,plunging neckline or low cut,,low necklines,clothing
shirt,scoop neck,,scoop neck,clothing
shirt,scoop neck tops,,scoop neck,clothing
shirt,see-through,,see through sheer,clothing
shirt,sheer or mesh,,see through sheer,clothing
shirt,Shirt tails extending beyond finger tips,,excessively long,
shirt,shirts that exceed wrist length must be tucked in,,excessively long,
shirt,sweaters extended past wrist,,excessively long,
shirt,sweatshirts extended past wrist,,excessively long,
shirt,too short shirt,,short shirts,
shirt,too short shirts,,short shirts,
shirt,"underarm openings lower than 3"" below arm pit",,muscle shirts open sides,
shirt,wife beaters,,undershirts,
shorts,exposed pockets,,pocket lining visible,
shorts,Lycra of spandex,,bike shorts,
shorts,spandex shorts,,bike shorts,
skirt.dress,low cut,,low necklines,clothing
skirt.dress,school inappropriate neckline,,low necklines,clothing
undergarment,boxer-style briefs,,undergarments as outergarments,
undergarment,undergarments worn as outergarments,,undergarments as outergarments,
undergarment,visible sports bras,,visible specifically including bras and or bra straps,
length,short shirts,,short shirts,shirt
shirt,straps that do not cover bra strap,,visible specifically including bras and or bra straps,undergarment
