schoolName,state,website,stateAbb,schoolType,charterSchool,magnetSchool,locale,totalStudents,lowestGrade,highestGrade,totalRace,raceNative,raceAsian,raceHispanic,raceBlack,raceWhite,raceHawaiian,raceMultiple,studentTeacherRatio,teacherCount,matches,pWhite,pBlack,pHispanic,dressCode,handbookYear,uniform,entered
AUBURN SENIOR HIGH,Massachusetts,www.auburn.k12.ma.us,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,769,9th Grade,12th Grade,769,2,33,41,20,651,0,22,12.53,61.37,guide,85,3,5,https://campussuite-storage.s3.amazonaws.com/prod/1558541/87612908-224d-11e8-88ef-0a5d93e9ef60/1826872/a582b36c-b83d-11e8-8e71-0a8a303a66ce/file/2018%20-%202019%20Auburn%20High%20School%20Student%20Handbook.pdf,2018-2019,FALSE,a
DRUMMOND HIGH,Wisconsin,www.dasdk12.net,WI ,1-Regular school,2-No,2-No,43-Rural: Remote,120,9th Grade,12th Grade,120,2,0,2,1,112,0,3,11.06,10.85,handbook,93,1,2,http://www.dasdk12.net/uploads/5/8/7/2/58728053/17-18_ms_hs_student_handbook__.pdf,2018-2019,FALSE,skip - 2017 a
AUBURN HIGH,Virginia,http://ahs.mcps.org,VA ,1-Regular school,2-No,2-No,41-Rural: Fringe,417,9th Grade,12th Grade,417,0,0,11,3,399,1,3,12.8,32.58,handbook,96,1,3,http://ahs.mcps.org/UserFiles/Servers/Server_94864/Image/AHS%20Student%20Handbook%2018-19.docx.pdf,2018-2019,FALSE,a
HICKORY RIDGE HIGH,North Carolina,www.cabarrus.k12.nc.us/hickoryridgehs,NC ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1669,9th Grade,12th Grade,1669,11,71,98,322,1125,2,40,19.97,83.56,handbook,67,19,6,https://www.cabarrus.k12.nc.us/cms/lib/NC01910456/Centricity/Domain/91/handbook%202018-19%20final%20copy.pdf,2018-2019,FALSE,a
DEWITT HIGH SCHOOL,Arkansas,http://dewittschooldistrict.net,AR ,1-Regular school,2-No,2-No,41-Rural: Fringe,393,9th Grade,12th Grade,393,0,0,16,54,315,0,8,9.42,41.71,handbook,80,14,4,http://dewittschooldistrict.net/students/related/handbooks/DHS%20Handbook%202018-19.pdf,2018-2019,FALSE,a
MARION L STEELE HIGH SCHOOL,Ohio,http://www.amherstk12.org,OH ,1-Regular school,2-No,–,22-Suburb: Mid-size,1249,9th Grade,12th Grade,1249,3,10,170,37,990,0,39,19.98,62.5,handbook,79,3,14,https://www.amherstk12.org/uploaded/Documents/Steele/Resources/Handbook/2018_2019_MLS_Student_Handbook_Final.pdf,2018-2019,FALSE,a
CAMERON HIGH,Missouri,www.cameron.k12.mo.us,MO ,1-Regular school,2-No,2-No,32-Town: Distant,548,9th Grade,12th Grade,548,3,5,17,3,499,0,21,15.22,36.01,handbook,91,1,3,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/201085/2018-2019_CHS_Student_Handbook.pdf,2018-2019,FALSE,a
BAY SHORE SENIOR HIGH SCHOOL,New York,www.bayshoreschools.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,1892,9th Grade,12th Grade,1892,1,87,698,422,665,NA,19,14.44,131.01,appearance,35,22,37,https://www.bayshoreschools.org/files/filesystem/english%20code%2018-19.pdf,2018-2019,FALSE,a
SAINT HELENA HIGH,California,www.sthelena.k12.ca.us,CA ,1-Regular school,2-No,2-No,31-Town: Fringe,475,9th Grade,12th Grade,475,3,4,225,3,239,1,0,14.49,32.77,manual,50,1,47,https://www.shhs.sthelenaunified.org/pdf/St_Helena_Student_Handbook_2018_2019.pdf,2018-2019,FALSE,a
REEDS SPRING HIGH,Missouri,www.rs-wolves.com,MO ,1-Regular school,2-No,2-No,42-Rural: Distant,621,9th Grade,12th Grade,621,8,4,21,4,578,0,6,17.37,35.76,guide,93,1,3,https://4.files.edl.io/e5d3/06/27/18/134717-900f3525-e387-41c9-bc74-d010d0c7f105.pdf,2018-2019,FALSE,a
CONNETQUOT HIGH SCHOOL,New York,www.ccsdli.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,2044,9th Grade,12th Grade,2044,4,81,172,34,1744,NA,9,13.95,146.51,guide,85,2,8,http://www.ccsdli.org/Assets/CHS_Links/032217_CODE_OF_CONDUCT.pdf,2018-2019,FALSE,a
RONDOUT VALLEY HIGH SCHOOL,New York,www.rondout.k12.ny.us,NY ,1-Regular school,2-No,2-No,42-Rural: Distant,618,9th Grade,12th Grade,618,6,8,22,20,558,NA,4,10.93,56.56,manual,90,3,4,https://www.rondout.k12.ny.us/UserFiles/Servers/Server_719363/File/18-19/Code%20of%20Conduct%20BOE%20Adopted%206-19-2018.pdf,2018-2019,FALSE,a
NORTHERN AZ ACADEMY FOR CAREER DEV. - TAYLOR,Arizona,http://www.naacharter.org,AZ ,1-Regular school,1-Yes,–,41-Rural: Fringe,56,9th Grade,12th Grade,56,0,0,16,2,37,0,1,NA,NA,handbook,66,4,29,https://img1.wsimg.com/blobby/go/9a745406-9429-4408-af4e-5202aafefd9c/downloads/1cqmbckl8_402142.pdf,2018-2019,FALSE,
FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL,Florida,http://www.fsw.edu/wp/lchs/,FL ,1-Regular school,1-Yes,2-No,21-Suburb: Large,362,9th Grade,12th Grade,362,0,11,115,32,200,0,4,36.2,10,handbook,55,9,32,https://www.fsw.edu/wp/lchs/students/dress-code-highlights/,2018-2019,FALSE,
PORUM HS,Oklahoma,http://www.porum.k12.ok.us,OK ,1-Regular school,2-No,NA,42-Rural: Distant,140,9th Grade,12th Grade,140,68,0,2,2,68,0,0,10.78,12.99,handbook,49,1,1,https://s3.amazonaws.com/scschoolfiles/162/2018-2019_porum_high_school_handbook.pdf,2018-2019,FALSE,a
BONDUEL HIGH,Wisconsin,www.bonduel.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,304,9th Grade,12th Grade,304,11,0,11,3,278,0,1,13.31,22.84,handbook,91,1,4,https://www.bonduel.k12.wi.us/cms_files/resources/BHS%20Handbook%202018-2019%20Finalized%20For%20Print%20FINAL.pdf,2018-2019,FALSE,a
FARMINGTON HIGH,New Mexico,http://fhs.fms.k12.nm.us/,NM ,1-Regular school,2-No,NA,13-City: Small,1376,9th Grade,12th Grade,1376,498,16,363,11,479,0,9,17.53,78.49,handbook,35,1,26,http://fhs.fms.k12.nm.us/handbook1819.pdf,2018-2019,FALSE,a
MOUNT PLEASANT HIGH,North Carolina,www.cabarrus.k12.nc.us/mountpleasanths,NC ,1-Regular school,2-No,2-No,41-Rural: Fringe,849,9th Grade,12th Grade,849,10,7,42,32,740,2,16,15.29,55.54,handbook,87,4,5,https://www.cabarrus.k12.nc.us/cms/lib/NC01910456/Centricity/Domain/43/MPHS%202018_2019%20Student%20Handbook.pdf,2018-2019,FALSE,a
FOUNTAIN HILLS HIGH SCHOOL,Arizona,www.fhusd.org,AZ ,1-Regular school,2-No,–,21-Suburb: Large,557,9th Grade,12th Grade,557,43,19,31,3,447,4,10,18.08,30.8,manual,80,1,6,https://drive.google.com/file/d/0B2tdn8HoGYhLMVFqbDBJazVKX1E/view,2018-2019,FALSE,a
POTTSTOWN SHS,Pennsylvania,http://www.pottstownschools.com,PA ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,819,9th Grade,12th Grade,819,0,10,131,323,295,0,60,13.05,62.75, dress,36,39,16,http://www.pottstownschools.org/Downloads/PHS_Parent%20and%20Student%20Handbook%202018-2019.pdf,2018-2019,FALSE,a
EDGAR HIGH,Wisconsin,www.edgar.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,194,9th Grade,12th Grade,194,1,1,2,2,188,0,0,12.2,15.9,handbook,97,1,1,https://www.edgar.k12.wi.us/cms_files/resources/HS%20STUDENT%20HANDBOOK%2018-19.pdf,2018-2019,FALSE,skip - no copy/paste a
MENCHVILLE HIGH,Virginia,http://mville.nn.k12.va.us/,VA ,1-Regular school,2-No,2-No,12-City: Mid-size,1578,9th Grade,12th Grade,1578,6,51,122,598,755,0,46,16.12,97.89,handbook,48,38,8,http://sbo.nn.k12.va.us/resources/handbook/rights_resp.pdf,2018-2019,FALSE,a
WHEELER HIGH SCHOOL,Connecticut,www.northstonington.k12.ct.us/,CT ,1-Regular school,2-No,2-No,41-Rural: Fringe,189,9th Grade,12th Grade,189,1,4,7,3,171,0,3,7.55,25.02,handbook,90,2,4,http://www.northstonington.k12.ct.us/wp-content/uploads/2018/08/2018-19_whs_handbook.pdf,2018-2019,FALSE,a
MARSHALLTOWN HIGH SCHOOL,Iowa,www.marshalltown.k12.ia.us/schools/mhs/mhshome.html,IA ,1-Regular school,2-No,NA,32-Town: Distant,1408,9th Grade,12th Grade,1408,7,43,668,33,620,1,36,14.67,96,handbook,44,2,47,https://www.marshalltown.k12.ia.us/media/cms/StudentHandbook201620172_B8986C40C5EEA.pdf,2018-2019,FALSE,a
WEST PLAINS SR. HIGH,Missouri,www.zizzers.org,MO ,1-Regular school,2-No,2-No,41-Rural: Fringe,1091,9th Grade,12th Grade,1091,10,7,19,7,1043,0,5,18.49,59.01,guide,96,1,2,https://www.zizzers.org/cms/lib/MO01001590/Centricity/Domain/180/HS%20Handbook%202018-19.pdf,2018-2019,FALSE,a
MERRILL HIGH,Wisconsin,www.maps.k12.wi.us,WI ,1-Regular school,2-No,2-No,32-Town: Distant,855,9th Grade,12th Grade,855,6,2,10,15,815,4,3,16.01,53.4,handbook,95,2,1,https://docs.google.com/document/d/1d4PrwCVhCOyHdHO7PZddwpwl5xGTlLRhViEKCThhDQM/edit#bookmark=kix.rm0zwthjwrmc,2018-2019,FALSE,a
TUCKAHOE HIGH SCHOOL,New York,www.tuckahoeschools.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,256,9th Grade,12th Grade,256,0,10,32,56,157,NA,1,16.03,15.97,guide,61,22,12,https://echalk-slate-prod.s3.amazonaws.com/private/schools/3072/site/fileLinks/f9d242ed-62f0-48ad-9124-cce4fbed2900?AWSAccessKeyId=AKIAJSZKIBPXGFLSZTYQ&Expires=1858402664&response-cache-control=private%2C%20max-age%3D31536000&response-content-disposition=%3Bfilename%3D%22THS%2520Student%2520Handbook%25202017-18.pdf%22&response-content-type=application%2Fpdf&Signature=m9bBjlRmC7WrPwdG98YAMnk%2Bjh0%3D,2018-2019,FALSE,skip-2017-a
NORTHWEST CABARRUS HIGH,North Carolina,www.cabarrus.k12.nc.us/nwcabarrushs,NC ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1202,9th Grade,12th Grade,1202,2,23,214,259,671,1,32,16.7,71.97,handbook,56,22,18,https://www.cabarrus.k12.nc.us/cms/lib/NC01910456/Centricity/Domain/44/COC-2018.pdf,2018-2019,FALSE,a
BALDWIN HIGH SCHOOL,Kansas,usd348.com,KS ,1-Regular school,2-No,2-No,31-Town: Fringe,420,9th Grade,12th Grade,420,6,10,6,4,383,0,11,11.29,37.2,handbook,91,1,1,http://www.usd348.com/schools/bhs/student-handbook/,2018-2019,FALSE,skip - download only
ELKHORN AREA HIGH,Wisconsin,www.elkhorn.k12.wi.us,WI ,1-Regular school,2-No,2-No,32-Town: Distant,894,9th Grade,12th Grade,894,3,8,99,7,760,0,17,15.41,58,manual,85,1,11,https://docs.google.com/document/d/1NhYUxLg11tCKIfjirpcNsSlR6Y-EhFLeD8tywr96oec/edit#heading=h.npj7dxr5dutd,2018-2019,FALSE,a
HOPKINS HIGH SCHOOL,Michigan,www.hpsvikings.org,MI ,1-Regular school,2-No,1-Yes,42-Rural: Distant,501,9th Grade,12th Grade,501,5,0,15,1,472,0,8,20.15,24.86,handbook,94,0,3,https://www.hpsvikings.org/wp-content/uploads/2018-2019-HHS-Student-and-Parent-Handbook.pdf,2018-2019,FALSE,
ALMONT HIGH SCHOOL,Michigan,www.almontschools.org,MI ,1-Regular school,2-No,2-No,41-Rural: Fringe,500,9th Grade,12th Grade,500,2,1,21,1,473,1,1,19.87,25.16,manual,95,0,4,http://www.almontschools.org/UserFiles/Servers/Server_4922/File/High%20School/Handbooks/2018-19%20HS%20Student%20Handbook-final%203.pdf,2018-2019,FALSE,a
BOURNE HIGH SCHOOL,Massachusetts,www.bourneps.org,MA ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,450,9th Grade,12th Grade,450,0,9,19,8,394,1,19,13.22,34.04,handbook,88,2,4,http://www.bourneps.org/userfiles/279/my%20files/handbooks/bhs%20student%20handbook%202018.2019%20(1).pdf?id=2315,2018-2019,FALSE,a
EASTERN YORK HS,Pennsylvania,http://www.easternyork.com,PA ,1-Regular school,2-No,2-No,41-Rural: Fringe,671,9th Grade,12th Grade,671,1,3,31,15,611,1,9,12.97,51.72,handbook,91,2,5,https://docs.google.com/document/d/1x_TOq1YGLmh9Dyl02Ceuek52nwLGrJ56I1OjaBh4IZs/edit#heading=h.gjdgxs,2018-2019,FALSE,a
PPEP TEC - ALICE S. PAUL LEARNING CENTER,Arizona,www.ppeptechs.org,AZ ,1-Regular school,1-Yes,–,23-Suburb: Small,63,9th Grade,12th Grade,63,3,0,48,2,8,0,2,NA,NA,handbook,13,3,76,https://ppeptechs.org/wp-content/uploads/2018/08/PPEP-TEC-HIGH-SCHOOLS-HB-18-19.pdf,2018-2019,FALSE,
WASHINGTON HS,Oklahoma,washington.k12.ok.us,OK ,1-Regular school,2-No,NA,42-Rural: Distant,271,9th Grade,12th Grade,271,34,0,17,1,219,0,0,18.96,14.29,handbook,81,0,6,http://www.washingtonpsok.com/pdfs/mshshandbook.pdf,2018-2019,FALSE,a
NORWOOD HIGH,Massachusetts,http://www.norwood.k12.ma.us/nhs,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,967,9th Grade,12th Grade,967,0,44,69,113,723,2,16,12.72,76.02,handbook,75,12,7,https://campussuite-storage.s3.amazonaws.com/prod/1213978/583ade96-581b-11e7-99ef-124f7febbf4a/1819900/229997d2-aafe-11e8-a0b0-0a3147dd6928/file/NHSSTUDENTHANDBOOK2018-2019.pdf,2018-2019,FALSE,a
WASHBURN RURAL HIGH,Kansas,www.wrhs.net,KS ,1-Regular school,2-No,2-No,41-Rural: Fringe,1879,9th Grade,12th Grade,1879,10,61,187,89,1379,4,149,14.58,128.9,handbook,73,5,10,http://usd437.net/schools/wrhs/,2018-2019,FALSE,a
TALIHINA HS,Oklahoma,www.talihina.k12.ok.us,OK ,1-Regular school,2-No,NA,43-Rural: Remote,202,9th Grade,12th Grade,202,100,0,8,8,83,0,3,10.92,18.5,handbook,41,4,4,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/248174/2018-19_Digital_Student_Handbook_w-cover.pdf,2018-2019,FALSE,a
ENTERPRISE HIGH,California,www.enterprisehornets.com,CA ,1-Regular school,2-No,2-No,13-City: Small,1220,9th Grade,12th Grade,1220,44,102,243,48,720,4,59,22.08,55.25, dress,59,4,20,http://www.suhsd.net/documents/Departments/Instructional%20Services/Documents/2018-19%20Student%20Parent%20Handbook.pdf,2018-2019,FALSE,skip- no copy - a
LAMPHERE HIGH SCHOOL,Michigan,www.Lamphere.k12.mi.us,MI ,1-Regular school,2-No,2-No,21-Suburb: Large,797,9th Grade,12th Grade,797,1,45,16,72,645,0,18,20.51,38.85,handbook,81,9,2,http://www.lamphere.k12.mi.us/UserFiles/Servers/Server_61419/Image/Handbooks/2018%20-%202019/LHS%20Handbook%202018-19.pdf,2018-2019,FALSE,a
LAKE REGION UHSD #24,Vermont,http://www.lruhs.org/,VT ,1-Regular school,NA,2-No,42-Rural: Distant,359,9th Grade,12th Grade,359,0,0,4,4,343,0,8,11.64,30.83,handbook,96,1,1,http://www.lruhs.org/images/stories/docs/2018-2019-online-handbook-calendar.pdf,2018-2019,FALSE,a
BLACK DIAMOND HIGH (CONTINUATION),California,www.pittsburg.k12.ca.us,CA ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,217,9th Grade,12th Grade,217,0,5,140,56,8,2,6,10.47,20.72, dress,4,26,65,https://www.pittsburg.k12.ca.us/cms/lib/CA01902661/Centricity/Domain/58/Student%20Handbook%2018-19%20ENGLISH-%20Version%202.pdf,2018-2019,FALSE,
ESTERO HIGH SCHOOL,Florida,http://est.leeschools.net/,FL ,1-Regular school,2-No,1-Yes,21-Suburb: Large,1770,9th Grade,12th Grade,1770,1,37,706,26,978,0,22,21.85,81,handbook,55,1,40,https://est.leeschools.net/our_school/dress_code,2018-2019,FALSE,
NEWBERG SENIOR HIGH SCHOOL,Oregon,www.newberg.k12.or.us/nhs,OR ,1-Regular school,2-No,NA,31-Town: Fringe,1593,9th Grade,12th Grade,1593,10,25,326,19,1149,3,61,20.88,76.29,handbook,72,1,20,https://www.newberg.k12.or.us/sites/default/files/fileattachments/newberg_high_school/page/8185/newberghighschoolstudenthandbook2018-19.pdf,2018-2019,FALSE,a
EDGEWOOD H S,Texas,www.edgewood-isd.net,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,291,9th Grade,12th Grade,291,1,5,23,8,236,0,18,10.77,27.03,handbook,81,3,8,http://www.edgewood-isd.net/upload/page/0286/docs/Secondary%20Schools%20DRESS%20AND%20GROOMING.pdf,2018-2019,FALSE,a
BLAIR OAKS HIGH,Missouri,www.blairoaks.k12.mo.us,MO ,1-Regular school,2-No,2-No,41-Rural: Fringe,430,9th Grade,12th Grade,430,1,1,1,2,423,0,2,17.16,25.06,appearance,98,0,0,https://bhs-bosd-mo.schoolloop.com/file/1346919813873/1500710502686/42528252168273529131533835021543.pdf,2018-2019,FALSE,a
NICOLET HIGH,Wisconsin,www.nicolet.us,WI ,1-Regular school,2-No,2-No,21-Suburb: Large,1115,9th Grade,12th Grade,1115,6,53,69,232,694,3,58,14.27,78.11,handbook,62,21,6,https://www.nicolet.us/students/student_handbook.pdf,2018-2019,FALSE,a
MILTON SENIOR HIGH SCHOOL,Vermont,http://www.mtsd-vt.org/mhs/,VT ,1-Regular school,NA,2-No,31-Town: Fringe,492,9th Grade,12th Grade,492,0,3,3,2,471,0,13,11.18,44,manual,96,0,1,https://4.files.edl.io/b0e2/10/15/18/152654-150264e1-5b21-4488-ac11-37e93d443760.pdf,2018-2019,FALSE,a
FLORENCE HIGH,Wisconsin,www.myflorence.org,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,111,9th Grade,12th Grade,111,2,0,1,2,105,0,1,8.22,13.5,handbook,95,2,1,http://www.myflorence.org/docs/district/student%20resources/14-15%20student%20handbookxx.pdf,2018-2019,FALSE,skip-2014/15 a
FALL RIVER GATEWAY TO COLLEGE @ BCC,MASSACHUSETTS,fallriverschools.org,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,30,9th Grade,12th Grade,30,0,0,5,3,20,0,2,NA,0,guide,67,10,17,https://resources.finalsite.net/images/v1536343468/fallriverschoolsorg/jozdpa2dkfhuwketks2g/DistrictHandbook2017.pdf,2018-2019,FALSE,skip-2017 a
HOLLAND PATENT CENTRAL HIGH SCHOOL,New York,www.hpschools.org,NY ,1-Regular school,2-No,2-No,42-Rural: Distant,477,9th Grade,12th Grade,477,1,3,9,1,451,NA,12,19.11,24.96,guide,95,0,2,https://docs.google.com/viewerng/viewer?url=https://www.hpschools.org//cms/lib/NY01913715/Centricity/Domain/18/HPHSHdbk+201819.pdf,2018-2019,FALSE,a
DICKINSON H S,Texas,www.dickinsonisd.org,TX ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,2832,9th Grade,12th Grade,2832,12,77,1256,564,869,3,51,16.73,169.31,handbook,31,20,44,http://www.dickinsonisd.org/upload/page/0381/DHS%20Handbook%2018-19.pdf,2018-2019,FALSE,a
VINTON-SHELLSBURG HIGH SCHOOL,Iowa,www.vscsd.org,IA ,1-Regular school,2-No,NA,41-Rural: Fringe,488,9th Grade,12th Grade,488,0,2,10,5,456,0,15,13.24,36.87, dress,93,1,2,http://www.vscsd.org/wp-content/uploads/2018/08/18-19-Handbook.pdf,2018-2019,FALSE,a
HARLAN HIGH SCHOOL,Iowa,www.harlan.k12.ia.us,IA ,1-Regular school,2-No,NA,32-Town: Distant,525,9th Grade,12th Grade,525,4,2,20,8,491,0,0,14.67,35.78,handbook,94,2,4,http://www.harlan.k12.ia.us/UserFiles/Servers/Server_96247/Image/For%20Parents%20and%20Students/2017-2018%20K-12%20Component.pdf,2018-2019,FALSE,skip 2017 a
FOXBOROUGH HIGH,Massachusetts,http://www.foxborough.k12.ma.us,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,843,9th Grade,12th Grade,843,2,24,22,42,750,1,2,12.49,67.49,handbook,89,5,3,http://foxborough.k12.ma.us/accounts/fhs-library/files/18-19-fhs-hb-final.pdf,2018-2019,FALSE,skip page not found a
MILLENNIUM CHARTER,California,www.tracylc.net,CA ,1-Regular school,1-Yes,2-No,23-Suburb: Small,510,9th Grade,12th Grade,510,3,64,250,36,140,1,16,20.04,25.45,handbook,27,7,49,http://www.tracylearningcenter.com/wp-content/uploads/2018/08/MHS-Student-Handbook-2018-2019-2.pdf,2018-2019,FALSE,
ATLANTA H S,Texas,www.atlisd.net,TX ,1-Regular school,2-No,2-No,32-Town: Distant,545,9th Grade,12th Grade,545,2,2,42,164,326,1,8,13.31,40.96,handbook,60,30,8,http://s3.amazonaws.com/scschoolfiles/1105/aisd_handbook_2018-2019.pdf,2018-2019,FALSE,a
PAYNESVILLE AREA HIGH SCHOOL,Minnesota,www.paynesvilleschools.com,MN ,1-Regular school,2-No,2-No,42-Rural: Distant,274,9th Grade,12th Grade,274,2,4,5,1,260,0,2,14.26,19.21,manual,95,0,2,http://paynesvilleschools.com/Portals/0/2018-2018%20Documents/Secondary%20School/Student%20Handbook%202018-19.docx.pdf?ver=2018-08-21-082749-183,2018-2019,FALSE,
SPRING HILL HIGH SCHOOL,Kansas,http://www.usd230.org,KS ,1-Regular school,2-No,2-No,41-Rural: Fringe,698,9th Grade,12th Grade,698,3,7,50,13,603,1,21,14.57,47.9,handbook,86,2,7,http://shhs.usd230.org/UserFiles/Servers/Server_56297/File/Students%20and%20parents/Handbook/Student%20Handbook%202018-2019.pdf,2018-2019,FALSE,
BROKEN BOW HS,Oklahoma,www.bbisd.org,OK ,1-Regular school,2-No,NA,33-Town: Remote,623,9th Grade,12th Grade,623,194,6,59,37,311,16,0,14.22,43.81,manual,50,6,9,http://www.bbisd.org/vimages/shared/vnews/stories/524d862819004/Student%20Handbook%2018-19.pdf,2018-2019,FALSE,
HOCKINSON HIGH SCHOOL,Washington,http://hhs.hocksd.org,WA ,1-Regular school,2-No,–,41-Rural: Fringe,670,9th Grade,12th Grade,670,4,16,29,6,605,0,10,20.3,33,handbook,90,1,4,https://hhs.hocksd.org/docs/building/1/hhs%20student%20handbook%202018-19.pdf?id=820,2018-2019,FALSE,
FAYETTEVILLE-MANLIUS SENIOR HIGH SCHOOL,New York,www.fmschools.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,1446,9th Grade,12th Grade,1446,7,117,41,47,1221,NA,13,14.7,98.37,guide,84,3,3,https://www.fmschools.org/about-us/code-of-conduct/code-of-conduct-article-iii-student-conduct-section-b/,2018-2019,FALSE,
ASHDOWN HIGH SCHOOL,Arkansas,www.ashdownschools.org,AR ,1-Regular school,2-No,2-No,32-Town: Distant,420,9th Grade,12th Grade,420,4,0,12,133,254,0,17,11.78,35.65,handbook,60,32,3,https://drive.google.com/file/d/1hpm4t5TK2nel0KVII-vaTrXfqo1va19A/view,2018-2019,FALSE,
BLISSFIELD HIGH SCHOOL,Michigan,www.blissfieldschools.us,MI ,1-Regular school,2-No,2-No,31-Town: Fringe,373,9th Grade,12th Grade,373,0,1,33,6,328,0,5,19.23,19.4,handbook,88,2,9,http://www.blissfieldschools.us/downloads/high_school/blissfield_high_school_student_handbook_2018-2019_1.pdf,2018-2019,FALSE,
CHARITON HIGH SCHOOL,Iowa,www.chariton.k12.ia.us,IA ,1-Regular school,2-No,NA,33-Town: Remote,426,9th Grade,12th Grade,426,2,2,7,2,407,1,5,14.2,30,handbook,96,0,2,https://neapolitanlabs.education/assets/chariton/files/high_school_handbook.pdf,2018-2019,FALSE,
BIG RAPIDS VIRTUAL SCHOOL,Michigan,www.brps.org,MI ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,96,9th Grade,12th Grade,96,0,2,1,6,86,0,1,96,1,handbook,90,6,1,http://www.brps.org/downloads/high_school_files/2018-2019_brhs_student_handbook.pdf,2018-2019,FALSE,
SEVASTOPOL HIGH,Wisconsin,www.sevastopol.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,180,9th Grade,12th Grade,180,0,2,12,0,163,0,3,12.48,14.42,handbook,91,0,7,http://www.sevastopol.k12.wi.us/UserFiles/Servers/Server_324535/Image/2018/Student%20Handbook%2018-19.pdf,2018-2019,FALSE,
SOUTHWESTERN WISCONSIN HIGH,Wisconsin,www.swsd.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,168,9th Grade,12th Grade,168,0,0,1,2,165,0,0,11.04,15.22,appearance,98,1,1,https://docs.wixstatic.com/ugd/df6218_fd53cb22f5da4d1fbac99938e9826f4b.pdf,2018-2019,FALSE,
RIVER VALLEY HIGH,Wisconsin,www.rvschools.org,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,422,9th Grade,12th Grade,422,0,3,7,8,398,0,6,13.41,31.47,manual,94,2,2,https://www.rvschools.org/cms_files/resources/HS%20Student%20Handbook.pdf,2018-2019,FALSE,
TISHOMINGO HS,Oklahoma,www.tishomingo.k12.ok.us,OK ,1-Regular school,2-No,NA,43-Rural: Remote,250,9th Grade,12th Grade,250,85,0,13,4,131,0,17,10.61,23.57,handbook,52,2,5,http://s3.amazonaws.com/scschoolfiles/51/student_handbook_18-19_1.pdf,2018-2019,FALSE,
COLUMBUS COMMUNITY HIGH SCHOOL,Iowa,www.columbuscsd.org,IA ,1-Regular school,2-No,NA,42-Rural: Distant,230,9th Grade,12th Grade,230,0,11,143,3,73,0,0,15.94,14.43,handbook,32,1,62,http://www.columbuscsd.org/UserFiles/Servers/Server_572636/File/Secondary%20School%20Student%20Handbook%202018-19.pdf,2018-2019,FALSE,
JACKPOT HIGH SCHOOL,Nevada,http://www.jackpot.ecsdnv.net/,NV ,1-Regular school,2-No,2-No,43-Rural: Remote,52,9th Grade,12th Grade,52,0,0,38,0,14,0,0,4.73,11,manual,27,0,73,http://www.jackpot.ecsdnv.net/UserFiles/Servers/Server_140485/File/Jackpot%20Student%20Handbook%2018-19%20(1).pdf,2018-2019,FALSE,
ALEXANDER HAMILTON SENIOR HIGH,California,http://hamiltonhs-lausd-ca.schoolloop.com,CA ,1-Regular school,2-No,1-Yes,11-City: Large,2879,9th Grade,12th Grade,2879,7,111,1431,819,441,12,58,24.96,115.33,appearance,15,28,50,http://hamiltonhs-lausd-ca.schoolloop.com/file/1327740157808/1473925535101/1006137993233573308.pdf,2018-2019,FALSE,
HEIDELBERG HIGH SCHOOL,Mississippi,http://www.eastjasper.k12.ms.us/heidelberghighschool/,MS ,1-Regular school,2-No,2-No,43-Rural: Remote,289,9th Grade,12th Grade,289,0,0,2,284,3,0,0,11.36,25.44,guide,1,98,1,http://images.pcmac.org/Uploads/EastJasperCSD/EastJasperCSD/Divisions/DocumentsCategories/Documents/Student%20Hand%20Book%202018%20-%202019_%7BSIS0FBCC322AC89%7D.pdf,2018-2019,FALSE,
CAIRO-DURHAM HIGH SCHOOL,New York,www.cairodurham.org,NY ,1-Regular school,2-No,2-No,42-Rural: Distant,384,9th Grade,12th Grade,384,0,0,22,5,330,NA,27,10.38,37.01,handbook,86,1,6,http://www.cairodurham.org/files/CodeofConductUpdate1819.pdf,2018-2019,FALSE,
