"schoolName","state","website","stateAbb","schoolType","charterSchool","magnetSchool","locale","totalStudents","lowestGrade","highestGrade","totalRace","raceNative","raceAsian","raceHispanic","raceBlack","raceWhite","raceHawaiian","raceMultiple","studentTeacherRatio","teacherCount","matches","pWhite","pBlack","pHispanic"
"BRUNI H S","Texas","www.webbcisd.org","TX ","1-Regular school","2-No","2-No","43-Rural: Remote",102,"9th Grade","12th Grade",102,0,0,95,0,7,0,0,7.62,13.39,"guide",7,0,93
"BUFFALO H S","Texas","www.buffaloisd.net","TX ","1-Regular school","2-No","2-No","43-Rural: Remote",289,"9th Grade","12th Grade",289,0,2,109,9,163,0,6,11.72,24.66,"handbook",56,3,38
"BUFFALO HIGH SCHOOL","Wyoming","http://www.jcsd1.us/high.cfm","WY ","1-Regular school","2-No","2-No","41-Rural: Fringe",322,"9th Grade","12th Grade",322,0,0,26,0,283,0,13,10.32,31.19,"handbook",88,0,8
"BUFFALO SENIOR HIGH","Minnesota","http://www.bhmschools.org","MN ","1-Regular school","2-No","2-No","31-Town: Fringe",1835,"9th Grade","12th Grade",1835,7,22,57,23,1693,1,32,19.88,92.3,"guide",92,1,3
"BUFFALO VALLEY HS","Oklahoma","www.bvpsd.org","OK ","1-Regular school","2-No",NA,"43-Rural: Remote",53,"9th Grade","12th Grade",53,26,0,1,0,23,0,3,10.84,4.89,"handbook",43,0,2
"BUFORD HIGH SCHOOL","Georgia","www.bufordcityschools.org","GA ","1-Regular school","2-No","2-No","21-Suburb: Large",1299,"9th Grade","12th Grade",1299,1,35,296,182,741,4,40,18.35,70.8,"manual",57,14,23
"BULLARD-HAVENS TECHNICAL HIGH SCHOOL","Connecticut","www.cttech.org/bullard-havens/index.htm","CT ","3-Vocational school","2-No","2-No","12-City: Mid-size",784,"9th Grade","12th Grade",784,1,6,482,237,42,0,16,10.51,74.6,"handbook",5,30,61
"BURKBURNETT H S","Texas","www.burkburnettisd.org","TX ","1-Regular school","2-No","2-No","31-Town: Fringe",901,"9th Grade","12th Grade",901,8,8,119,77,644,5,40,13.89,64.86,"guide",71,9,13
"BURLINGTON EDISON HIGH SCHOOL","Washington","www.be.wednet.edu","WA ","1-Regular school","2-No","–","23-Suburb: Small",1114,"9th Grade","12th Grade",1114,11,21,365,15,673,2,27,19.8,56.27,"guide",60,1,33
"BURLINGTON SENIOR HIGH SCHOOL","Vermont","http://bhs.bsdvt.org/","VT ","1-Regular school",NA,"2-No","13-City: Small",1048,"9th Grade","12th Grade",1048,3,153,33,159,659,0,41,9.48,110.57,"handbook",63,15,3
"BURNCOAT SENIOR HIGH","Massachusetts","burncoathigh.worcesterschools.org","MA ","1-Regular school","2-No","2-No","12-City: Mid-size",1026,"9th Grade","12th Grade",1026,3,51,409,180,346,0,37,13.71,74.85,"handbook",34,18,40
"BURNS HIGH","North Carolina","www.clevelandcountyschools.org","NC ","1-Regular school","2-No","2-No","42-Rural: Distant",1071,"9th Grade","12th Grade",1071,3,3,65,179,783,0,38,14.69,72.9,"guide",73,17,6
"BURNSVILLE ALTERNATIVE HIGH SCHOOL","Minnesota","http://www.isd191.org/balc","MN ","4-Alternative/other school","2-No","2-No","13-City: Small",100,"9th Grade","12th Grade",100,2,4,19,19,47,1,8,6.94,14.4,"guide",47,19,19
"BURNSVILLE SENIOR HIGH","Minnesota","http://www.isd191.org/bhs","MN ","1-Regular school","2-No","2-No","21-Suburb: Large",1888,"9th Grade","12th Grade",1888,13,176,260,314,1074,2,49,18.84,100.2,"guide",57,17,14
"BURNSVILLE SR HIGH EXTENDED DAY PRO","Minnesota","http://www.isd191.org/balc","MN ","4-Alternative/other school","2-No","2-No","13-City: Small",30,"9th Grade","12th Grade",30,1,4,4,9,9,0,3,NA,NA,"guide",30,30,13
"BURNT HILLS-BALLSTON LAKE SENIOR HIGH SCHOOL","New York","www.bhbl.org","NY ","1-Regular school","2-No","2-No","21-Suburb: Large",1041,"9th Grade","12th Grade",1041,1,19,12,9,989,NA,11,12.8,81.35,"guide",95,1,1
"BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE","New York","www.bushwickleaders.org","NY ","1-Regular school","2-No","–","11-City: Large",280,"9th Grade","12th Grade",280,0,3,224,49,3,NA,1,11.65,24.03,"appearance",1,18,80
"BUSINESS MANAGEMENT & FINANCE HIGH SCHOOL","Massachusetts","www.lawrence.k12.ma.us","MA ","1-Regular school","2-No","2-No","21-Suburb: Large",409,"9th Grade","12th Grade",409,2,2,363,7,35,0,0,14.1,29,"guide",9,2,89
"BUTLER HIGH SCHOOL","Ohio","www.vbcsd.com","OH ","1-Regular school","2-No","–","21-Suburb: Large",971,"9th Grade","12th Grade",971,4,22,24,54,823,1,43,19.95,48.67,"guide",85,6,2
"BYRAM HILLS HIGH SCHOOL","New York","www.byramhills.org","NY ","1-Regular school","2-No","2-No","41-Rural: Fringe",873,"9th Grade","12th Grade",873,0,44,30,4,795,NA,0,11.22,77.78,"handbook",91,0,3
"BYRON NELSON H S","Texas","www.nisdtx.org/bnhs","TX ","1-Regular school","2-No","2-No","41-Rural: Fringe",2557,"9th Grade","12th Grade",2557,22,114,467,220,1675,5,54,17.42,146.75,"handbook",66,9,18
"CABOOL HIGH","Missouri","www.cabool.k12.mo.us","MO ","1-Regular school","2-No","2-No","42-Rural: Distant",236,"9th Grade","12th Grade",236,0,1,0,2,233,0,0,13.04,18.1,"guide",99,1,0
"CABRILLO HIGH","California","www.lusd.org","CA ","1-Regular school","2-No","2-No","41-Rural: Fringe",1463,"9th Grade","12th Grade",1463,11,62,642,49,605,4,90,23.12,63.27,"guide",41,3,44
"CADOTT HIGH","Wisconsin","www.cadott.k12.wi.us","WI ","1-Regular school","2-No","2-No","42-Rural: Distant",263,"9th Grade","12th Grade",263,0,0,6,1,251,0,5,15.13,17.38,"handbook",95,0,2
"CAESAR RODNEY HIGH SCHOOL","Delaware","www.crk12.org/Domain/8","DE ","1-Regular school","2-No","2-No","22-Suburb: Mid-size",2003,"9th Grade","12th Grade",2003,14,88,134,623,1108,4,32,14.95,134,"guide",55,31,7
"CAIRO-DURHAM HIGH SCHOOL","New York","www.cairodurham.org","NY ","1-Regular school","2-No","2-No","42-Rural: Distant",384,"9th Grade","12th Grade",384,0,0,22,5,330,NA,27,10.38,37.01,"handbook",86,1,6
"CALAVERAS HILLS","California","www.musd.org","CA ","4-Alternative/other school","2-No","2-No","13-City: Small",114,"9th Grade","12th Grade",114,0,26,61,6,15,4,2,10.65,10.7,"handbook",13,5,54
"CALC TRANSITION","Minnesota","http://www.isd12.org/calc","MN ","2-Special education school","2-No","2-No","21-Suburb: Large",34,"9th Grade","12th Grade",34,0,1,0,2,31,0,0,NA,NA,"handbook",91,6,0
"CALERA HIGH SCH","Alabama","www.shelbyed.k12.al.us/schools/cahs/index.htm","AL ","1-Regular school","2-No","2-No","41-Rural: Fringe",745,"9th Grade","12th Grade",745,0,4,39,291,402,0,9,17.95,41.5,"handbook",54,39,5
"CALHAN HIGH SCHOOL","Colorado","www.calhanschool.org","CO ","1-Regular school","2-No","2-No","42-Rural: Distant",147,"9th Grade","12th Grade",147,0,0,14,12,119,0,2,15.57,9.44,"manual",81,8,10
"CALHOUN HIGH SCHOOL","Georgia","www.calhounschools.org","GA ","1-Regular school","2-No","2-No","32-Town: Distant",1084,"9th Grade","12th Grade",1084,0,27,339,77,624,3,14,18.25,59.4,"handbook",58,7,31
"CALICO CONTINUATION HIGH","California","www.svusdk12.net","CA ","4-Alternative/other school","2-No","2-No","42-Rural: Distant",19,"9th Grade","12th Grade",19,0,0,3,1,15,0,0,19,1,"handbook",79,5,16
"CALIFORNIA HIGH","Missouri","www.californiak12.org","MO ","1-Regular school","2-No","2-No","32-Town: Distant",415,"9th Grade","12th Grade",415,2,0,45,4,362,0,2,11.85,35.01,"guide",87,1,11
"CALIFORNIA PREPARATORY ACADEMY","California","www.calprepacademy.org","CA ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",176,"9th Grade","12th Grade",176,0,1,24,1,137,0,13,39.55,4.45,"appearance",78,1,14
"CALLA HIGH","California","www.mantecausd.net","CA ","4-Alternative/other school","2-No","2-No","23-Suburb: Small",164,"9th Grade","12th Grade",164,2,4,88,14,54,2,0,15.8,10.38,"appearance",33,9,54
"CALLAWAY HIGH SCHOOL","Mississippi","http://callaway.jpsms.org","MS ","1-Regular school","2-No","2-No","12-City: Mid-size",1078,"9th Grade","12th Grade",1078,1,2,26,1040,5,1,3,17.87,60.31,"handbook",0,96,2
"CALVIN NELMS H S","Texas","www.cnchs.net","TX ","4-Alternative/other school","1-Yes","2-No","21-Suburb: Large",165,"9th Grade","12th Grade",165,1,2,81,18,60,0,3,13.26,12.44,"handbook",36,11,49
"CAM HIGH SCHOOL","Iowa","www.camcougars.org","IA ","1-Regular school","2-No",NA,"43-Rural: Remote",124,"9th Grade","12th Grade",124,1,1,1,2,119,0,0,8.86,14,"appearance",96,2,1
"CAMERON HIGH","Missouri","www.cameron.k12.mo.us","MO ","1-Regular school","2-No","2-No","32-Town: Distant",548,"9th Grade","12th Grade",548,3,5,17,3,499,0,21,15.22,36.01,"handbook",91,1,3
"CAMERON YOE H S","Texas","www.cameronisd.net","TX ","1-Regular school","2-No","2-No","32-Town: Distant",452,"9th Grade","12th Grade",452,0,2,194,83,164,0,9,15.49,29.18,"handbook",36,18,43
"CANADIAN H S","Texas","www.canadianisd.net","TX ","1-Regular school","2-No","2-No","33-Town: Remote",270,"9th Grade","12th Grade",270,2,0,108,1,157,0,2,10.45,25.84,"handbook",58,0,40
"CANADIAN HS","Oklahoma","www.canadian.k12.ok.us.com","OK ","1-Regular school","2-No",NA,"43-Rural: Remote",143,"9th Grade","12th Grade",143,91,1,1,1,48,0,1,13.35,10.71,"appearance",34,1,1
"CANAJOHARIE SENIOR HIGH SCHOOL","New York","www.canajoharieschools.org","NY ","1-Regular school","2-No","2-No","32-Town: Distant",322,"9th Grade","12th Grade",322,0,0,0,0,322,NA,0,13.44,23.96,"manual",100,0,0
"CANBY HIGH SCHOOL","Oregon","www.canbyhs.canby.k12.or.us","OR ","1-Regular school","2-No",NA,"31-Town: Fringe",1438,"9th Grade","12th Grade",1438,6,9,390,3,971,3,56,23.86,60.27,"handbook",68,0,27
"CANON CITY HIGH SCHOOL","Colorado","www.cchsweb.org","CO ","1-Regular school","2-No","2-No","32-Town: Distant",1054,"9th Grade","12th Grade",1054,12,3,109,4,894,1,31,18.76,56.18,"handbook",85,0,10
"CANTON HARBOR HIGH SCHOOL","Ohio","www.cantonharbor.org","OH ","1-Regular school","1-Yes","–","13-City: Small",89,"9th Grade","12th Grade",89,0,0,6,18,54,0,11,25.43,3.5,"handbook",61,20,7
"CANUTILLO H S","Texas","www.canutillo-isd.org","TX ","1-Regular school","2-No","2-No","11-City: Large",1650,"9th Grade","12th Grade",1650,2,8,1582,10,45,0,3,NA,NA,"handbook",3,1,96
"CANYON HIGH","California","www.hartdistrict.org","CA ","1-Regular school","2-No","2-No","21-Suburb: Large",2327,"9th Grade","12th Grade",2327,2,144,1131,96,871,4,79,25.97,89.6,"handbook",37,4,49
"CANYON RIDGE HIGH","California","www.hesperia.k12.ca.us/200304/index.php","CA ","4-Alternative/other school","2-No","2-No","41-Rural: Fringe",233,"9th Grade","12th Grade",233,0,0,165,20,39,1,8,19.42,12,"guide",17,9,71
"CANYON ROSE ACADEMY","Arizona","www.canyonroseacademy.com","AZ ","4-Alternative/other school","1-Yes","–","11-City: Large",296,"9th Grade","12th Grade",296,5,0,165,23,88,0,15,NA,NA,"guide",30,8,56
"CAP SANTE HIGH SCHOOL","Washington","http://csh.asd103.org","WA ","4-Alternative/other school","2-No","–","31-Town: Fringe",60,"9th Grade","12th Grade",60,2,1,7,0,48,0,2,30,2,"handbook",80,0,12
"CAPE CORAL HIGH SCHOOL","Florida","http://cch.leeschools.net/","FL ","1-Regular school","2-No","1-Yes","12-City: Mid-size",1663,"9th Grade","12th Grade",1663,5,50,545,141,871,3,48,21.05,79,"handbook",52,8,33
"CAPE CORAL TECHNICAL COLLEGE","Florida","capecoraltech.edu","FL ","3-Vocational school","2-No","2-No","12-City: Mid-size",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,0,19,"handbook",NA,NA,NA
"CAPE FEAR HIGH","North Carolina","www.cfhs.ccs.k12.nc.us/","NC ","1-Regular school","2-No","2-No","41-Rural: Fringe",1546,"9th Grade","12th Grade",1546,40,8,115,416,867,5,95,17.18,90,"manual",56,27,7
"CAPE GIRARDEAU CAR  TECH CTR.","Missouri","http://www.capetigers.com","MO ","3-Vocational school","2-No","2-No","13-City: Small",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,0,26.87,"handbook",NA,NA,NA
"CAPISTRANO VALLEY HIGH","California","www.cvhs.com","CA ","1-Regular school","2-No","2-No","21-Suburb: Large",2241,"9th Grade","12th Grade",2241,5,189,657,17,1227,2,144,27.11,82.65,"appearance",55,1,29
"CAPITOL HILL HS","Oklahoma","www.okcps.org","OK ","1-Regular school","2-No",NA,"11-City: Large",1483,"9th Grade","12th Grade",1483,63,10,1062,187,151,1,9,15.07,98.39,"guide",10,13,72
"CAREER ACADEMY/ADULT EDUCATION","Michigan","www.resa.net/highlandpark/index.htm","MI ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,NA,0,"guide",NA,NA,NA
"CAREER EDUCATION AND TRANSITION HIGH SCHOOL","Florida","http://www.fsdb.k12.fl.us/","FL ","2-Special education school","2-No","2-No","23-Suburb: Small",38,"9th Grade","12th Grade",38,0,2,11,8,14,1,2,5.43,7,"handbook",37,21,29
"CAREER INSTITUTE OF TECHNOLOGY","Pennsylvania","http://www.citvt.com","PA ","3-Vocational school","2-No","2-No","41-Rural: Fringe",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,0,25.5,"guide",NA,NA,NA
"CARLE (WILLIAM C.) HIGH (CONTINUATION)","California","www.konoctiusd.org","CA ","4-Alternative/other school","2-No","2-No","32-Town: Distant",85,"9th Grade","12th Grade",85,2,1,26,4,42,0,10,21.25,4,"manual",49,5,31
"CARLSBAD HIGH","California","www.carlsbadusd.k12.ca.us","CA ","1-Regular school","2-No","2-No","12-City: Mid-size",2459,"9th Grade","12th Grade",2459,21,160,682,28,1412,13,143,25.94,94.81,"appearance",57,1,28
"CARMEL HIGH SCHOOL","New York","www.carmelschools.org","NY ","1-Regular school","2-No","2-No","21-Suburb: Large",1434,"9th Grade","12th Grade",1434,1,38,281,40,1058,NA,16,14.47,99.11,"guide",74,3,20
"CARROLL HIGH SCH","Alabama","www.ozarkcityschools.net/public/chs","AL ","1-Regular school","2-No","2-No","31-Town: Fringe",692,"9th Grade","12th Grade",692,3,4,13,323,341,0,8,17.74,39,"guide",49,47,2
"CARROLL HIGH SCH CAREER CTR","Alabama","www.ozarkcityschools.net/public/ccc","AL ","3-Vocational school","2-No","2-No","31-Town: Fringe",NA,"9th Grade","12th Grade",0,NA,NA,NA,NA,NA,NA,NA,NA,4,"guide",NA,NA,NA
"CARROLLTON HIGH SCHOOL","Georgia","www.carrolltoncityschools.net","GA ","1-Regular school","2-No","2-No","31-Town: Fringe",1481,"9th Grade","12th Grade",1481,3,20,219,427,726,0,86,17.95,82.5,"handbook",49,29,15
"CARSON HIGH","North Carolina","www.rss.k12.nc.us/schoolpgs/chs/chs.html","NC ","1-Regular school","2-No","2-No","41-Rural: Fringe",1253,"9th Grade","12th Grade",1253,2,14,161,59,984,2,31,17.96,69.75,"handbook",79,5,13
"CARSON SENIOR HIGH","California","http://carsonhs-lausd-ca.schoolloop.com","CA ","1-Regular school","2-No","2-No","13-City: Small",1560,"9th Grade","12th Grade",1560,6,278,856,281,49,75,15,24.53,63.59," dress",3,18,55
"CARTER COUNTY HIGH SCHOOL","Montana","www.ekalaka.net","MT ","1-Regular school",NA,"2-No","43-Rural: Remote",34,"9th Grade","12th Grade",34,0,0,1,0,33,0,0,4.88,6.97,"handbook",97,0,3
"CARTHAGE H S","Texas","www.carthageisd.org","TX ","1-Regular school","2-No","2-No","32-Town: Distant",759,"9th Grade","12th Grade",759,2,6,123,168,449,0,11,10.48,72.39,"guide",59,22,16
"CARTHAGE SENIOR HIGH SCHOOL","New York","www.carthagecsd.org","NY ","1-Regular school","2-No","2-No","41-Rural: Fringe",941,"9th Grade","12th Grade",941,5,17,69,55,756,NA,39,14.04,67.03,"handbook",80,6,7
"CASCADE SENIOR HIGH SCHOOL","Oregon","www.cascade.k12.or.us","OR ","1-Regular school","2-No",NA,"41-Rural: Fringe",764,"9th Grade","12th Grade",764,12,10,124,4,586,5,23,18.69,40.88," dress",77,1,16
"CASE HIGH","Wisconsin","www.rusd.org","WI ","1-Regular school","2-No","2-No","22-Suburb: Mid-size",1940,"9th Grade","12th Grade",1940,5,50,435,508,901,0,41,16.1,120.52,"guide",46,26,22
"CASSOPOLIS ALTERNATIVE ED.","Michigan","www.cassopolis.k12.mi.us","MI ","4-Alternative/other school","2-No","2-No","42-Rural: Distant",47,"9th Grade","12th Grade",47,1,0,1,3,39,0,3,NA,0,"handbook",83,6,2
"CATALINA HIGH MAGNET SCHOOL","Arizona","www.tusd.k12.az.us/catalina","AZ ","1-Regular school","2-No","–","11-City: Large",764,"9th Grade","12th Grade",764,24,35,372,101,176,17,39,16.12,47.4,"guide",23,13,49
"CATONSVILLE CENTER FOR ALTERNATIVE STUDIES","Maryland","http://catonsvillecenter.bcps.org","MD ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",64,"9th Grade","12th Grade",64,0,0,5,45,12,0,2,5.12,12.5,"manual",19,70,8
"CATONSVILLE HIGH","Maryland","http://catonsvillehs.bcps.org","MD ","1-Regular school","2-No","2-No","21-Suburb: Large",1737,"9th Grade","12th Grade",1737,5,154,79,516,919,4,60,16.95,102.5,"handbook",53,30,5
"CEDAR CITY HIGH","Utah","http://chs.ironk12.org/","UT ","1-Regular school","2-No","2-No","33-Town: Remote",1182,"9th Grade","12th Grade",1182,35,9,95,7,996,8,32,NA,NA,"guide",84,1,8
"CEDAR CREEK H S","Texas","www.bisdtx.org","TX ","1-Regular school","2-No","2-No","42-Rural: Distant",1438,"9th Grade","12th Grade",1438,7,7,988,60,348,0,28,14.22,101.11," dress",24,4,69
"CEDAR GROVE-BELGIUM HIGH","Wisconsin","www.cedargrovebelgium.k12.wi.us","WI ","1-Regular school","2-No","2-No","42-Rural: Distant",355,"9th Grade","12th Grade",355,4,2,19,1,326,0,3,16.31,21.76,"handbook",92,0,5
"CEDAR LANE SCHOOL","Michigan","www.nilesschools.org","MI ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",82,"9th Grade","12th Grade",82,0,0,7,6,62,0,7,17.56,4.67,"guide",76,7,9
"CEDARBURG HIGH","Wisconsin","www.cedarburg.k12.wi.us","WI ","1-Regular school","2-No","2-No","21-Suburb: Large",1132,"9th Grade","12th Grade",1132,0,23,28,12,1046,0,23,17.35,65.23,"handbook",92,1,2
"CELINA H S","Texas","www.celinaisd.com","TX ","1-Regular school","2-No","2-No","41-Rural: Fringe",697,"9th Grade","12th Grade",697,6,6,158,20,488,0,19,15.46,45.09,"appearance",70,3,23
"CENTENNIAL HIGH","Maryland","www.centennialeagles.org/","MD ","1-Regular school","2-No","2-No","41-Rural: Fringe",1465,"9th Grade","12th Grade",1465,1,531,68,121,670,2,72,16.1,91,"guide",46,8,5
"CENTENNIAL HIGH SCHOOL","Minnesota","http://www.isd12.org/chs/index.html","MN ","1-Regular school","2-No","2-No","21-Suburb: Large",1944,"9th Grade","12th Grade",1944,14,99,82,48,1659,1,41,20.39,95.36,"handbook",85,2,4
"CENTER FOR ACADEMIC SUCCESS  THE #1","Arizona","www.casschools.com","AZ ","1-Regular school","1-Yes","–","13-City: Small",105,"9th Grade","12th Grade",105,0,1,29,7,65,0,3,NA,NA,"handbook",62,7,28
"CENTER FOR INTERNATIONAL EDUCATION A CAMBRIDGE ASSOCIATE SCH","FLORIDA","www.centerforinternationaleducation.net","FL ","1-Regular school","2-No","1-Yes","21-Suburb: Large",142,"9th Grade","12th Grade",142,0,4,100,26,12,0,0,14.2,10,"handbook",8,18,70
"CENTER FOR TECHNICAL EDUCATION INNOVATION","Massachusetts","http://www.leominster.mec.edu","MA ","3-Vocational school","2-No","2-No","22-Suburb: Mid-size",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,0,56.8,"guide",NA,NA,NA
"CENTER HILL HIGH SCHOOL","Mississippi","www.desotocountyschools.org/chhs","MS ","1-Regular school","2-No","2-No","41-Rural: Fringe",971,"9th Grade","12th Grade",971,3,10,47,364,527,3,17,19.25,50.45,"handbook",54,37,5
"CENTERVILLE HIGH SCHOOL","Iowa","www.centervilleschools.org","IA ","1-Regular school","2-No",NA,"33-Town: Remote",379,"9th Grade","12th Grade",379,2,5,12,2,357,0,1,12.02,31.54,"handbook",94,1,3
"CENTINELA VALLEY INDEPENDENT STUDY","California","www.centinela.k12.ca.us","CA ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",104,"9th Grade","12th Grade",104,0,2,83,12,4,2,1,17.33,6,"manual",4,12,80
"CENTRAL CITY VALUE","California","www.valueschools.com","CA ","1-Regular school","1-Yes","2-No","11-City: Large",483,"9th Grade","12th Grade",483,0,13,453,4,0,0,13,23.84,20.26,"guide",0,1,94
"CENTRAL HEIGHTS H S","Texas","centralhts.org","TX ","1-Regular school","2-No","2-No","41-Rural: Fringe",331,"9th Grade","12th Grade",331,2,1,38,16,266,0,8,12.77,25.92,"handbook",80,5,11
"CENTRAL HIGH","Virginia","www.shenandoah.k12.va.us/chs","VA ","1-Regular school","2-No","1-Yes","32-Town: Distant",790,"9th Grade","12th Grade",790,6,4,103,16,637,1,23,11.79,67,"manual",81,2,13
"CENTRAL HIGH","Wisconsin","www.elmbrookschools.org","WI ","1-Regular school","2-No","2-No","21-Suburb: Large",1327,"9th Grade","12th Grade",1327,1,178,70,54,986,0,38,18.22,72.82,"guide",74,4,5
"CENTRAL HIGH","California","http://centralhs-lausd-ca.schoolloop.com","CA ","4-Alternative/other school","2-No","2-No","11-City: Large",400,"9th Grade","12th Grade",400,4,7,338,40,9,1,1,17.79,22.48,"appearance",2,10,84
"CENTRAL HIGH","Missouri","http://www.newmadridco.k12.mo.us","MO ","1-Regular school","2-No","2-No","33-Town: Remote",403,"9th Grade","12th Grade",403,0,0,4,114,283,0,2,13.06,30.85,"handbook",70,28,1
"CENTRAL HIGH  AREA LEARNING CENTER","Minnesota","http://www.chs.isd77.org","MN ","4-Alternative/other school","2-No","2-No","13-City: Small",65,"9th Grade","12th Grade",65,0,1,11,12,38,0,3,7.56,8.6,"manual",58,18,17
"CENTRAL HIGH SCHOOL","Iowa","www.central-csd.org","IA ","1-Regular school","2-No",NA,"41-Rural: Fringe",516,"9th Grade","12th Grade",516,1,4,18,15,468,1,9,12.39,41.63,"handbook",91,3,3
"CENTRAL HIGH SCHOOL","FLORIDA","http://www.bay.k12.fl.us/","FL ","4-Alternative/other school","1-Yes","2-No","13-City: Small",43,"9th Grade","12th Grade",43,0,0,3,11,25,0,4,43,1,"guide",58,26,7
"CENTRAL HIGH SCHOOL","Georgia","www.carrollcountyschools.com","GA ","1-Regular school","2-No","2-No","31-Town: Fringe",1162,"9th Grade","12th Grade",1162,0,2,81,160,860,0,59,18.36,63.3,"handbook",74,14,7
"CENTRAL HIGH SCHOOL","Oregon","www.central.k12.or.us","OR ","1-Regular school","2-No",NA,"31-Town: Fringe",1003,"9th Grade","12th Grade",1003,4,11,425,5,517,3,38,23.46,42.76,"manual",52,0,42
"CENTRAL HIGH SCHOOL","Wyoming","http://central.laramie1.org/","WY ","1-Regular school","2-No","2-No","13-City: Small",1172,"9th Grade","12th Grade",1172,15,9,163,18,941,1,25,14.15,82.8,"guide",80,2,14
"CENTRAL ISLIP SENIOR HIGH SCHOOL","New York","www.centralislip.k12.ny.us","NY ","1-Regular school","2-No","2-No","21-Suburb: Large",2083,"9th Grade","12th Grade",2083,4,72,1468,460,75,NA,4,15.32,136,"manual",4,22,70
"CENTRAL LYON SENIOR HIGH SCHOOL","Iowa","www.centrallyon.org","IA ","1-Regular school","2-No",NA,"42-Rural: Distant",184,"9th Grade","12th Grade",184,0,0,7,1,172,1,3,10.88,16.91," dress",93,1,4
"CENTRAL MEDFORD HIGH SCHOOL","Oregon","www.medford.k12.or.us","OR ","4-Alternative/other school","2-No",NA,"13-City: Small",275,"9th Grade","12th Grade",275,6,1,75,8,166,3,16,16.58,16.59,"guide",60,3,27
"CENTRAL SENIOR HIGH","Minnesota",NA,"MN ","1-Regular school","2-No","2-No","32-Town: Distant",342,"9th Grade","12th Grade",342,0,6,17,3,310,0,6,17.1,20,"guide",91,1,5
"CENTRAL SPRINGS HIGH SCHOOL","Iowa","www.centralsprings.net","IA ","1-Regular school","2-No",NA,"42-Rural: Distant",236,"9th Grade","12th Grade",236,1,0,6,3,224,0,2,14.14,16.69,"handbook",95,1,3
"CENTRAL VALLEY ACADEMY","New York","www.cvalleycsd.org","NY ","1-Regular school","2-No","2-No","31-Town: Fringe",667,"9th Grade","12th Grade",667,2,6,3,23,633,NA,0,12.8,52.09,"guide",95,3,0
"CENTRAL VALLEY HIGH","California","www.gateway-schools.org","CA ","1-Regular school","2-No","2-No","22-Suburb: Mid-size",644,"9th Grade","12th Grade",644,48,18,92,13,452,5,16,19.33,33.32,"handbook",70,2,14
"CENTRAL VERMONT CAREER CENTER","Vermont","http://www.barretechnicalcenter.org/","VT ","3-Vocational school",NA,"2-No","32-Town: Distant",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,NA,0,"handbook",NA,NA,NA
"CENTRAL WESTMORELAND CTC","Pennsylvania","http://www.cwctc.org","PA ","3-Vocational school","2-No","2-No","21-Suburb: Large",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,0,32,"handbook",NA,NA,NA
"CENTRALIA HIGH","Missouri","www.centralia.k12.mo.us","MO ","1-Regular school","2-No","2-No","32-Town: Distant",405,"9th Grade","12th Grade",405,0,4,6,5,385,0,5,13.69,29.58,"handbook",95,1,1
"CENTURY AREA LEARNING CENTER","MINNESOTA","http://www.rochester.k12.mn.us","MN ","4-Alternative/other school","2-No","2-No","12-City: Mid-size",139,"9th Grade","12th Grade",139,1,8,11,24,91,0,4,31.59,4.4,"handbook",65,17,8
"CENTURY HIGH","Maryland","http://www2.carrollk12.org/chs/","MD ","1-Regular school","2-No","2-No","41-Rural: Fringe",1094,"9th Grade","12th Grade",1094,4,30,47,23,963,0,27,17.46,62.67,"handbook",88,2,4
"CESAR CHAVEZ COMMUNITY  SCHOOL","New Mexico","http://www.cesarchavezcharter.net/","NM ","1-Regular school","1-Yes",NA,"11-City: Large",205,"9th Grade","12th Grade",205,19,1,167,9,9,0,0,20.18,10.16,"handbook",4,4,81
"CESAR CHAVEZ PCS FOR PUBLIC POLICY CAPITOL HILL","District of Columbia","www.chavezschools.org","DC ","1-Regular school","1-Yes","2-No","11-City: Large",387,"9th Grade","12th Grade",387,0,0,48,339,0,0,0,12.06,32.1,"handbook",0,88,12
"CESAR CHAVEZ PCS FOR PUBLIC POLICY PARKSIDE HIGH","District of Columbia","www.chavezschools.org","DC ","1-Regular school","1-Yes","2-No","11-City: Large",374,"9th Grade","12th Grade",374,0,0,28,346,0,0,0,13.85,27,"handbook",0,93,7
"CESAR E. CHAVEZ HIGH","California",NA,"CA ","4-Alternative/other school","2-No","2-No","11-City: Large",281,"9th Grade","12th Grade",281,0,1,278,0,2,0,0,21.05,13.35,"guide",1,0,99
