ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; Highest Grade Offered [Public School] (All Years: 2015-16): 12th Grade; Lowest Grade Offered [Public School] (All Years: 2015-16): 9th Grade

School Name,State Name [Public School] Latest available year,Web Site URL [Public School] 2015-16,State Abbr [Public School] Latest available year,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,Urban-centric Locale [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Lowest Grade Offered [Public School] 2015-16,Highest Grade Offered [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16
BOWLING GREEN HIGH,Missouri,www.bgschools.k12.mo.us,MO ,1-Regular school,2-No,2-No,33-Town: Remote,370,9th Grade,12th Grade,370,1,1,5,11,337,="0",15,13.07,28.30
BOWLING GREEN HIGH SCHOOL,Ohio,http://www.bgcs.k12.oh.us,OH ,1-Regular school,2-No,–,31-Town: Fringe,828,9th Grade,12th Grade,828,1,10,54,33,691,="0",39,17.62,47.00
BOWLING GREEN HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,13-City: Small,1225,9th Grade,12th Grade,1225,="0",49,174,255,700,2,45,16.17,75.75
BOWMAN (JEREANN) HIGH (CONTINUATION),California,www.hartdistrict.org,CA ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,502,9th Grade,12th Grade,502,="0",11,319,25,129,2,16,24.85,20.20
BOX ELDER HIGH SCHOOL,Montana,†,MT ,1-Regular school,†,2-No,43-Rural: Remote,113,9th Grade,12th Grade,113,110,="0",1,="0",2,="0",="0",16.84,6.71
BOYCEVILLE HIGH,Wisconsin,www.boyceville.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,221,9th Grade,12th Grade,221,="0",="0",3,3,213,="0",2,13.97,15.82
BOYD COUNTY HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,41-Rural: Fringe,877,9th Grade,12th Grade,877,1,5,8,4,851,="0",8,17.99,48.74
BOYD H S,Texas,www.boydisd.net,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,346,9th Grade,12th Grade,346,5,2,42,3,282,="0",12,10.96,31.57
BOYD H. ANDERSON HIGH SCHOOL,Florida,http://www.browardschools.com,FL ,1-Regular school,2-No,1-Yes,21-Suburb: Large,1812,9th Grade,12th Grade,1812,4,23,95,1643,25,="0",22,22.94,79.00
BOYD REGIONAL JUVENILE DETENTION CENTER,Kentucky,†,KY ,4-Alternative/other school,†,2-No,13-City: Small,6,9th Grade,12th Grade,6,="0",="0",="0",="0",5,="0",1,1.57,3.83
BOYLE COUNTY HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,32-Town: Distant,855,9th Grade,12th Grade,855,2,9,27,11,799,2,5,16.67,51.30
BOYLE HEIGHTS CONTINUATION,California,http://boyleheightshs-lausd-ca.schoolloop.com,CA ,4-Alternative/other school,2-No,2-No,11-City: Large,77,9th Grade,12th Grade,77,="0",="0",74,1,2,="0",="0",14.00,5.50
BOYLE HEIGHTS STEM HIGH,CALIFORNIA,http://stemboyleheights-lausd-ca.schoolloop.com,CA ,1-Regular school,2-No,2-No,11-City: Large,132,9th Grade,12th Grade,132,="0",="0",132,="0",="0",="0",="0",17.60,7.50
BOYNTON BEACH COMMUNITY HIGH,Florida,www.palmbeach.k12.fl.us/BoyntonBeachHS,FL ,1-Regular school,2-No,1-Yes,21-Suburb: Large,1837,9th Grade,12th Grade,1837,9,26,348,1209,211,1,33,16.70,110.00
BOYNTON HIGH,California,www.boynton.cuhsd.org,CA ,4-Alternative/other school,2-No,2-No,11-City: Large,282,9th Grade,12th Grade,282,="0",26,147,11,80,2,16,17.30,16.30
BOYS AND GIRLS HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,380,9th Grade,12th Grade,380,3,5,30,331,5,–,6,12.88,29.50
BOYS RANCH H S,Texas,www.boysranchisd.org,TX ,4-Alternative/other school,2-No,2-No,43-Rural: Remote,149,9th Grade,12th Grade,149,="0",="0",24,16,104,="0",5,5.14,28.98
BOYS REPUBLIC HIGH,California,http://boysrepublic.org,CA ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,103,9th Grade,12th Grade,103,1,3,64,22,10,="0",3,9.79,10.52
BOZEMAN HIGH SCHOOL,Montana,http://www.bsd7.org/bhsonline/,MT ,1-Regular school,†,2-No,33-Town: Remote,1989,9th Grade,12th Grade,1989,32,32,85,25,1774,4,37,16.60,119.83
BRACKEN COUNTY HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,42-Rural: Distant,375,9th Grade,12th Grade,375,="0",="0",6,1,364,="0",4,18.45,20.32
BRACKENRIDGE H S,Texas,†,TX ,1-Regular school,2-No,1-Yes,11-City: Large,1974,9th Grade,12th Grade,1974,="0",3,1856,68,42,1,4,17.42,113.30
BRACKETT H S,Texas,www.brackett.isd.net,TX ,1-Regular school,2-No,2-No,33-Town: Remote,169,9th Grade,12th Grade,169,="0",1,115,3,48,="0",2,7.81,21.63
BRADEN RIVER HIGH SCHOOL,Florida,www.manatee.k12.fl.us,FL ,1-Regular school,2-No,2-No,21-Suburb: Large,2081,9th Grade,12th Grade,2081,5,63,372,178,1379,5,79,22.87,91.00
BRADFORD AREA HS,Pennsylvania,http://www.bradfordareaschools.org,PA ,1-Regular school,2-No,2-No,33-Town: Remote,793,9th Grade,12th Grade,793,4,6,12,13,754,="0",4,15.22,52.10
BRADFORD HIGH,Wisconsin,www.kusd.edu,WI ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1645,9th Grade,12th Grade,1645,6,8,445,352,800,="0",34,20.18,81.53
BRADLEY CENTRAL HIGH SCHOOL,Tennessee,†,TN ,1-Regular school,2-No,2-No,13-City: Small,1763,9th Grade,12th Grade,1763,="0",4,66,49,1633,="0",11,16.42,107.40
BRADLEY TECHNOLOGY HIGH,Wisconsin,www.milwaukee.k12.wi.us,WI ,1-Regular school,2-No,2-No,11-City: Large,856,9th Grade,12th Grade,856,5,6,133,661,46,="0",5,16.02,53.44
BRADLEY-BOURBONNAIS C HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,23-Suburb: Small,2051,9th Grade,12th Grade,2051,2,49,171,220,1534,7,68,17.71,115.80
BRADSHAW MOUNTAIN HIGH SCHOOL,Arizona,http://www.humboldtunified.com/bmhs,AZ ,1-Regular school,2-No,–,23-Suburb: Small,1672,9th Grade,12th Grade,1672,17,20,524,17,1043,4,47,24.81,67.39
BRADWELL INSTITUTE,Georgia,†,GA ,1-Regular school,2-No,2-No,13-City: Small,1683,9th Grade,12th Grade,1683,5,32,209,934,376,13,114,19.52,86.20
BRADY EXPLORATION SCHOOL,Colorado,†,CO ,4-Alternative/other school,2-No,2-No,12-City: Mid-size,238,9th Grade,12th Grade,238,3,3,126,6,97,="0",3,10.82,22.00
BRADY H S,Texas,www.bradyisd.org,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,381,9th Grade,12th Grade,381,1,="0",189,9,180,="0",2,11.85,32.15
BRAGGS HS,Oklahoma,www.braggs.k12.ok.us,OK ,1-Regular school,2-No,†,42-Rural: Distant,62,9th Grade,12th Grade,62,31,="0",1,2,28,="0",="0",15.98,3.88
BRAINERD HIGH SCHOOL,Tennessee,†,TN ,1-Regular school,2-No,2-No,12-City: Mid-size,573,9th Grade,12th Grade,573,1,1,8,529,30,="0",4,10.83,52.90
BRAINERD SENIOR HIGH,Minnesota,http://www.isd181.org/bhs/,MN ,1-Regular school,2-No,2-No,33-Town: Remote,1799,9th Grade,12th Grade,1799,14,16,21,25,1690,="0",33,21.16,85.00
BRAINTREE HIGH,Massachusetts,†,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1686,9th Grade,12th Grade,1686,1,206,57,101,1303,2,16,14.80,113.92
BRANDEIS H S,Texas,nisd.net,TX ,1-Regular school,2-No,2-No,11-City: Large,2728,9th Grade,12th Grade,2728,2,196,1483,157,791,3,96,18.16,150.20
BRANDON HIGH SCHOOL,Florida,http://www.sdhc.k12.fl.us/,FL ,1-Regular school,2-No,2-No,21-Suburb: Large,1969,9th Grade,12th Grade,1969,6,48,642,412,764,1,96,17.27,114.00
BRANDON HIGH SCHOOL,Mississippi,http://www.rcsd.ms/~web08/BHS_MAIN/,MS ,1-Regular school,2-No,2-No,41-Rural: Fringe,1612,9th Grade,12th Grade,1612,1,15,27,451,1109,2,7,16.93,95.21
BRANDON VALLEY HIGH SCHOOL - 01,South Dakota,†,SD ,1-Regular school,2-No,†,31-Town: Fringe,1024,9th Grade,12th Grade,1024,2,17,17,28,948,6,6,21.01,48.73
BRANDON-EVANSVILLE HIGH SCHOOL,Minnesota,http://www.b-e.k12.mn.us/,MN ,1-Regular school,2-No,2-No,42-Rural: Distant,117,9th Grade,12th Grade,117,="0",="0",4,="0",112,="0",1,13.72,8.53
BRANDYWINE HIGH SCHOOL,Delaware,www.brandywineschools.org/brandywine,DE ,1-Regular school,2-No,2-No,21-Suburb: Large,824,9th Grade,12th Grade,824,="0",27,49,392,331,1,24,12.88,64.00
BRANFORD HIGH SCHOOL,Connecticut,www.branford.k12.ct.us/,CT ,1-Regular school,2-No,2-No,21-Suburb: Large,914,9th Grade,12th Grade,914,2,71,77,23,720,="0",21,10.84,84.30
BRANFORD HIGH SCHOOL HORIZONS PROGRAM,CONNECTICUT,†,CT ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,40,9th Grade,12th Grade,40,="0",2,6,1,30,="0",1,7.02,5.70
BRANHAM HIGH,California,www.branham.cuhsd.org,CA ,1-Regular school,2-No,2-No,11-City: Large,1514,9th Grade,12th Grade,1514,6,222,409,39,768,13,57,23.56,64.26
BRANSON HIGH,Missouri,†,MO ,1-Regular school,2-No,2-No,41-Rural: Fringe,1429,9th Grade,12th Grade,1429,16,23,157,31,1151,2,49,17.15,83.30
BRANTLEY COUNTY HIGH SCHOOL,Georgia,www.brantley.k12.ga.us,GA ,1-Regular school,2-No,2-No,43-Rural: Remote,956,9th Grade,12th Grade,956,4,6,22,23,893,1,7,17.23,55.50
BRASHIER MIDDLE COLLEGE CHARTER,South Carolina,†,SC ,1-Regular school,1-Yes,2-No,22-Suburb: Mid-size,433,9th Grade,12th Grade,433,="0",6,31,56,331,="0",9,18.04,24.00
BRATTLEBORO SENIOR UHSD #6,Vermont,http://buhs.wsesu.org/,VT ,1-Regular school,†,2-No,32-Town: Distant,752,9th Grade,12th Grade,752,="0",19,39,19,641,="0",34,16.00,47.00
BRAVE CENTER ACADEMY,North Dakota,http://www.mandan.k12.nd.us/,ND ,1-Regular school,†,†,23-Suburb: Small,35,9th Grade,12th Grade,35,1,="0",2,2,30,="0",="0",17.50,2.00
BRAVO LAKE HIGH,California,http://eopwoodlake.sharpschool.com/,CA ,4-Alternative/other school,2-No,2-No,31-Town: Fringe,40,9th Grade,12th Grade,40,1,="0",36,="0",3,="0",="0",30.77,1.30
BRAWLEY HIGH,California,www.brawleyhigh.org,CA ,1-Regular school,2-No,2-No,31-Town: Fringe,1690,9th Grade,12th Grade,1690,1,16,1494,19,144,="0",16,25.64,65.90
BRAXTON COUNTY HIGH SCHOOL,West Virginia,†,WV ,1-Regular school,†,†,43-Rural: Remote,580,9th Grade,12th Grade,580,="0",5,="0",1,569,="0",5,15.68,37.00
BRAY-DOYLE HS,Oklahoma,braydoyle.k12.ok.us,OK ,1-Regular school,2-No,†,42-Rural: Distant,108,9th Grade,12th Grade,108,2,="0",6,="0",87,1,12,10.07,10.72
BRAZOS H S,Texas,brazosisd.net,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,234,9th Grade,12th Grade,234,="0",2,112,27,88,="0",5,12.24,19.11
BRAZOSPORT H S,Texas,†,TX ,1-Regular school,2-No,2-No,23-Suburb: Small,1037,9th Grade,12th Grade,1037,8,1,723,115,173,="0",17,14.16,73.22
BRAZOSWOOD H S,Texas,†,TX ,1-Regular school,2-No,2-No,23-Suburb: Small,2497,9th Grade,12th Grade,2497,9,52,1044,177,1151,5,59,17.65,141.44
BREA CANYON HIGH (CONTINUATION),California,†,CA ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,70,9th Grade,12th Grade,70,="0",2,41,4,21,1,1,13.08,5.35
BREA-OLINDA HIGH,California,†,CA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1872,9th Grade,12th Grade,1872,4,414,631,38,733,10,42,27.24,68.72
BREATHITT COUNTY HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,33-Town: Remote,558,9th Grade,12th Grade,558,="0",="0",="0",7,550,1,="0",18.63,29.95
BRECKENRIDGE H S,Texas,www.breckenridgeisd.org,TX ,1-Regular school,2-No,2-No,33-Town: Remote,380,9th Grade,12th Grade,380,1,2,133,10,230,1,3,10.65,35.69
BRECKENRIDGE SENIOR HIGH,Minnesota,†,MN ,1-Regular school,2-No,2-No,32-Town: Distant,264,9th Grade,12th Grade,264,2,="0",8,4,243,="0",7,16.94,15.58
BRECKINRIDGE COUNTY HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,42-Rural: Distant,901,9th Grade,12th Grade,901,1,5,16,25,837,="0",17,19.42,46.40
BRECKINRIDGE METROPOLITAN HIGH,Kentucky,†,KY ,4-Alternative/other school,†,2-No,21-Suburb: Large,131,9th Grade,12th Grade,131,1,="0",="0",118,12,="0",="0",4.51,29.07
BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,21-Suburb: Large,1424,9th Grade,12th Grade,1424,1,76,27,29,1251,="0",40,19.60,72.64
BREMEN HIGH SCHOOL,Georgia,www.bremencs.com,GA ,1-Regular school,2-No,2-No,31-Town: Fringe,623,9th Grade,12th Grade,623,="0",13,7,30,565,="0",8,18.43,33.80
BREMEN HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,21-Suburb: Large,1427,9th Grade,12th Grade,1427,="0",10,664,379,329,="0",45,17.62,81.00
BREMEN SENIOR HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,32-Town: Distant,507,9th Grade,12th Grade,507,="0",2,107,3,385,="0",10,16.35,31.00
BREMERTON HIGH SCHOOL,Washington,†,WA ,1-Regular school,2-No,–,13-City: Small,1244,9th Grade,12th Grade,1244,15,72,212,75,639,27,204,19.08,65.20
BREMOND H S,Texas,bremondisd.net,TX ,1-Regular school,2-No,2-No,43-Rural: Remote,151,9th Grade,12th Grade,151,1,2,24,20,99,="0",5,8.35,18.08
BRENHAM H S,Texas,†,TX ,1-Regular school,2-No,2-No,32-Town: Distant,1453,9th Grade,12th Grade,1453,2,26,390,270,741,1,23,12.96,112.12
BRENKWITZ HIGH,California,†,CA ,4-Alternative/other school,2-No,2-No,12-City: Mid-size,193,9th Grade,12th Grade,193,1,6,124,29,22,7,4,12.84,15.03
BRENNAN H S,Texas,nisd.net,TX ,1-Regular school,2-No,2-No,21-Suburb: Large,2698,9th Grade,12th Grade,2698,6,48,1602,326,569,14,133,17.66,152.78
BRENTSVILLE DISTRICT HIGH,Virginia,†,VA ,1-Regular school,2-No,1-Yes,41-Rural: Fringe,1130,9th Grade,12th Grade,1130,4,46,151,50,826,1,52,16.02,70.53
BRENTWOOD HIGH,Missouri,brentwoodmoschools.org,MO ,1-Regular school,2-No,2-No,21-Suburb: Large,245,9th Grade,12th Grade,245,="0",12,18,55,148,="0",12,10.97,22.33
BRENTWOOD HIGH SCHOOL,New York,www.brentwood.k12.ny.us,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,4558,9th Grade,12th Grade,4558,6,93,3666,553,236,–,4,19.12,238.37
BRENTWOOD HIGH SCHOOL,Tennessee,www.wcs.ed,TN ,1-Regular school,2-No,2-No,21-Suburb: Large,1775,9th Grade,12th Grade,1775,1,131,60,54,1485,="0",44,18.26,97.20
BRENTWOOD RESIDENTIAL CENTER,NEW YORK,†,NY ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,15,9th Grade,12th Grade,15,="0",="0",5,7,3,–,="0",†,="0.00"
BRENTWOOD SHS,Pennsylvania,http://www.brentwoodpgh.k12.pa.us,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,362,9th Grade,12th Grade,362,="0",16,5,15,316,3,7,12.88,28.10
BRET HARTE UNION HIGH,California,http://bhhs-bhuhsd-ca.schoolloop.com/,CA ,1-Regular school,2-No,2-No,32-Town: Distant,674,9th Grade,12th Grade,674,15,10,146,1,458,1,43,18.91,35.64
BRETHREN HIGH SCHOOL,Michigan,†,MI ,1-Regular school,2-No,2-No,43-Rural: Remote,158,9th Grade,12th Grade,158,3,1,5,4,141,="0",4,20.15,7.84
BREVARD HIGH,North Carolina,bhs.tcsnc.org/,NC ,1-Regular school,2-No,2-No,31-Town: Fringe,746,9th Grade,12th Grade,746,3,11,26,55,605,6,40,13.11,56.90
BREWBAKER TECH MAGNET HIGH SCH,Alabama,www.brewtech.org,AL ,1-Regular school,2-No,1-Yes,12-City: Mid-size,558,9th Grade,12th Grade,558,1,38,7,350,151,="0",11,15.94,35.00
BREWER H S,Texas,†,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,1870,9th Grade,12th Grade,1870,13,30,686,136,933,8,64,16.76,111.57
BREWER HIGH SCHOOL,Maine,†,ME ,1-Regular school,2-No,2-No,23-Suburb: Small,670,9th Grade,12th Grade,670,7,4,7,12,634,1,5,12.64,53.00
BREWSTER ALTERNATIVE SCHOOL,Washington,†,WA ,4-Alternative/other school,2-No,–,43-Rural: Remote,21,9th Grade,12th Grade,21,1,="0",18,="0",2,="0",="0",34.43,="0.61"
BREWSTER HIGH,Kansas,www.usd314.weebly.com,KS ,1-Regular school,2-No,2-No,43-Rural: Remote,55,9th Grade,12th Grade,55,="0",="0",6,1,48,="0",="0",6.63,8.30
BREWSTER HIGH SCHOOL,New York,www.brewsterschools.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,1118,9th Grade,12th Grade,1118,3,22,253,34,784,–,22,14.73,75.89
BREWSTER HIGH SCHOOL,Washington,†,WA ,1-Regular school,2-No,–,43-Rural: Remote,253,9th Grade,12th Grade,253,2,="0",217,="0",32,="0",2,16.44,15.39
BRIAR WOODS HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,21-Suburb: Large,1672,9th Grade,12th Grade,1672,2,313,137,114,1030,2,74,14.07,118.80
BRIARCLIFF HIGH SCHOOL,New York,www.briarcliffschools.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,561,9th Grade,12th Grade,561,="0",61,39,24,434,–,3,11.81,47.52
BRICK TOWNSHIP HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,1385,9th Grade,12th Grade,1385,5,39,202,57,1081,="0",1,11.45,121.00
BRICK TOWNSHIP MEMORIAL HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,1602,9th Grade,12th Grade,1602,="0",43,143,103,1307,2,4,12.36,129.66
BRIDGE CITY H S,Texas,www.bridgecityisd.net,TX ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,765,9th Grade,12th Grade,765,3,30,100,4,614,1,13,13.17,58.07
BRIDGE CREEK HS,Oklahoma,www.bridgecreek.k12.ok.us,OK ,1-Regular school,2-No,†,41-Rural: Fringe,425,9th Grade,12th Grade,425,24,3,42,4,331,="0",21,17.16,24.76
BRIDGEPOINT HIGH (CONTINUATION),California,www.newarkunified.org,CA ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,76,9th Grade,12th Grade,76,="0",6,52,6,9,2,1,9.71,7.83
BRIDGEPORT AURORA HIGH SCHOOL,Washington,†,WA ,4-Alternative/other school,2-No,–,43-Rural: Remote,19,9th Grade,12th Grade,19,="0",="0",15,="0",4,="0",="0",19.00,1.00
BRIDGEPORT H S,Texas,www.bridgeportisd.net,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,642,9th Grade,12th Grade,642,5,3,284,7,331,1,11,12.47,51.48
BRIDGEPORT HIGH SCHOOL,Washington,†,WA ,1-Regular school,2-No,–,43-Rural: Remote,229,9th Grade,12th Grade,229,="0",1,192,1,34,="0",1,17.62,13.00
BRIDGEPORT HIGH SCHOOL,West Virginia,†,WV ,1-Regular school,†,†,32-Town: Distant,762,9th Grade,12th Grade,762,2,18,7,14,712,="0",9,15.52,49.09
BRIDGEPREP ACADEMY OF ARTS & MINDS,Florida,http://www.aandm.net,FL ,1-Regular school,1-Yes,2-No,11-City: Large,385,9th Grade,12th Grade,385,="0",2,294,39,49,="0",1,14.26,27.00
BRIDGER HIGH SCHOOL,Montana,†,MT ,1-Regular school,†,2-No,43-Rural: Remote,59,9th Grade,12th Grade,59,1,="0",1,1,54,="0",2,7.38,8.00
BRIDGES,Colorado,brhs.rfsd.k12.co.us,CO ,4-Alternative/other school,2-No,2-No,33-Town: Remote,83,9th Grade,12th Grade,83,1,="0",40,1,40,1,="0",14.21,5.84
BRIDGETON HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,31-Town: Fringe,1316,9th Grade,12th Grade,1316,5,2,816,381,96,="0",16,12.19,108.00
BRIDGEWATER-EMERY HIGH SCHOOL - 01,South Dakota,†,SD ,1-Regular school,2-No,†,43-Rural: Remote,96,9th Grade,12th Grade,96,="0",="0",4,1,91,="0",="0",9.29,10.33
BRIDGEWATER-RARITAN REGIONAL HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,2902,9th Grade,12th Grade,2902,2,622,267,101,1859,30,21,12.53,231.60
BRIDGEWATER-RAYNHAM REGIONAL,Massachusetts,www.bridge-rayn.org,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1528,9th Grade,12th Grade,1528,1,28,39,66,1330,3,61,16.61,92.02
BRIDGMAN HIGH SCHOOL,Michigan,www.bridgmanschools.com,MI ,1-Regular school,2-No,2-No,23-Suburb: Small,318,9th Grade,12th Grade,318,="0",6,7,4,293,="0",8,16.16,19.68
BRIEN MCMAHON HIGH SCHOOL,Connecticut,www.norwalk.k12.ct.us/bmhs/,CT ,1-Regular school,2-No,1-Yes,13-City: Small,1663,9th Grade,12th Grade,1663,3,83,723,364,460,1,29,13.26,125.43
BRIGGS HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,11-City: Large,1000,9th Grade,12th Grade,1000,3,39,139,300,474,1,44,18.87,53.00
BRIGHTON HIGH,Massachusetts,www.bostonpubicschools.org,MA ,1-Regular school,2-No,2-No,11-City: Large,931,9th Grade,12th Grade,931,4,26,419,412,46,1,23,13.01,71.55
BRIGHTON HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,1131,9th Grade,12th Grade,1131,4,139,55,91,814,–,28,11.08,102.12
BRIGHTON HIGH SCHOOL,Tennessee,www.tipton,TN ,1-Regular school,2-No,2-No,31-Town: Fringe,1456,9th Grade,12th Grade,1456,5,8,20,297,1121,5,="0",17.76,82.00
BRIGHTON HIGH SCHOOL,Colorado,†,CO ,1-Regular school,2-No,2-No,21-Suburb: Large,1786,9th Grade,12th Grade,1786,12,22,937,16,748,6,45,21.71,82.28
BRILLION HIGH,Wisconsin,www.brillion.k12.wi.us,WI ,1-Regular school,2-No,2-No,41-Rural: Fringe,320,9th Grade,12th Grade,320,3,1,18,2,290,="0",6,13.73,23.30
BRIMFIELD HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,42-Rural: Distant,215,9th Grade,12th Grade,215,="0",2,2,6,198,1,6,11.94,18.00
BRINDLEE MT HIGH SCH,Alabama,www.marshallk12.org,AL ,1-Regular school,2-No,2-No,41-Rural: Fringe,358,9th Grade,12th Grade,358,1,3,17,6,330,="0",1,18.08,19.80
BRISTOL CENTRAL HIGH SCHOOL,Connecticut,†,CT ,1-Regular school,2-No,2-No,21-Suburb: Large,1167,9th Grade,12th Grade,1167,2,39,242,90,754,1,39,14.55,80.20
BRISTOL COUNTY AGRICULTURAL HIGH,Massachusetts,www.bcahs.com,MA ,3-Vocational school,2-No,2-No,21-Suburb: Large,468,9th Grade,12th Grade,468,2,3,10,2,445,="0",6,13.68,34.20
BRISTOL EASTERN HIGH SCHOOL,Connecticut,†,CT ,1-Regular school,2-No,2-No,21-Suburb: Large,1221,9th Grade,12th Grade,1221,3,33,223,100,842,="0",20,15.82,77.20
BRISTOL HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,328,9th Grade,12th Grade,328,="0",1,74,69,161,="0",23,12.95,25.32
BRISTOL PREPARATORY ACADEMY,CONNECTICUT,†,CT ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,48,9th Grade,12th Grade,48,="0",="0",17,3,28,="0",="0",13.33,3.60
BRISTOL-PLYMOUTH VOCATIONAL TECHNICAL,Massachusetts,www.bptech.org.,MA ,3-Vocational school,2-No,2-No,21-Suburb: Large,1302,9th Grade,12th Grade,1302,6,8,87,42,1122,="0",37,13.17,98.88
BRISTOW HS,Oklahoma,www.bristow.k12.ok.us,OK ,1-Regular school,2-No,†,32-Town: Distant,467,9th Grade,12th Grade,467,130,3,23,40,270,1,="0",13.87,33.68
BRITTON-HECLA HIGH SCHOOL - 01,South Dakota,†,SD ,1-Regular school,2-No,†,43-Rural: Remote,119,9th Grade,12th Grade,119,6,="0",6,1,105,1,="0",10.63,11.20
BROAD RIPPLE MGNT HS FOR PRFM ARTS,Indiana,†,IN ,1-Regular school,2-No,1-Yes,11-City: Large,582,9th Grade,12th Grade,582,1,4,113,374,64,="0",26,12.93,45.00
BROAD RUN HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,21-Suburb: Large,1701,9th Grade,12th Grade,1701,4,308,268,162,888,1,70,13.61,125.00
BROAD STREET HIGH SCHOOL,MISSISSIPPI,www.nbcsd.k12.ms.us,MS ,1-Regular school,2-No,2-No,43-Rural: Remote,148,9th Grade,12th Grade,148,="0",="0",3,145,="0",="0",="0",9.12,16.22
BROADALBIN-PERTH HIGH SCHOOL,New York,www.bpcsd.org,NY ,1-Regular school,2-No,2-No,42-Rural: Distant,551,9th Grade,12th Grade,551,1,5,12,14,516,–,3,14.80,37.23
BROADNECK HIGH,Maryland,†,MD ,1-Regular school,2-No,2-No,21-Suburb: Large,2061,9th Grade,12th Grade,2061,6,71,135,154,1599,7,89,18.65,110.51
BROADVIEW HIGH SCHOOL,Montana,www.broadviewschools.org,MT ,1-Regular school,†,2-No,42-Rural: Distant,46,9th Grade,12th Grade,46,="0",1,2,="0",42,="0",1,6.32,7.28
BROADWATER HIGH SCHOOL,Montana,www.townsendps.schoolwires.com,MT ,1-Regular school,†,2-No,43-Rural: Remote,199,9th Grade,12th Grade,199,1,1,12,2,179,="0",4,12.00,16.58
BROADWAY HIGH,California,†,CA ,4-Alternative/other school,2-No,2-No,11-City: Large,234,9th Grade,12th Grade,234,2,7,192,9,20,1,3,11.78,19.87
BROADWAY HIGH,Virginia,†,VA ,1-Regular school,2-No,2-No,32-Town: Distant,1019,9th Grade,12th Grade,1019,4,1,75,17,902,="0",20,17.82,57.18
BROCK H S,Texas,†,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,384,9th Grade,12th Grade,384,1,1,26,6,338,1,11,14.13,27.18
