"school","type","group"
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","m",3
"FONTANA A. B. MILLER HIGH","m",3
"FONTANA HIGH","m",3
"FREEPORT AREA SHS","m",7
"FRONTENAC SR. HIGH SCHOOL","m",9
"FRUITVALE H S","m",4
"G.F.W. HIGH SCHOOL","m",4
"GATEWAY HIGH SCHOOL","m",4
"GEORGE MASON HIGH","m",9
"GIRARD HS","m",3
"GLASGOW HIGH SCHOOL","m",4
"GLEN ROSE H S","m",4
"GOSHEN CENTRAL HIGH SCHOOL","m",6
"GRANBURY H S","m",5
"GRAND LEDGE HIGH SCHOOL","m",1
"GRANDVIEW SR. HIGH","m",5
"GRANTSBURG HIGH","m",4
"GRIFFIN HIGH SCHOOL","m",6
"GUYMON HS","m",2
"HALLSVILLE H S","m",3
"HAMILTON HIGH SCHOOL","m",4
"HANOVER HIGH","m",5
"HARLOWTON HIGH SCHOOL","m",1
"HART HIGH SCHOOL","m",4
"HENRIETTA H S","m",4
"HICKSVILLE HIGH SCHOOL","m",3
"HIGLEY HIGH SCHOOL","m",6
"HILLDALE HS","m",4
"HILLIARD BRADLEY HIGH SCHOOL","m",6
"HINTON HS","m",3
"HOMINY HS","m",3
"HORIZON HIGH SCHOOL","m",0
"HORLICK HIGH","m",5
"HORN H S","m",4
"HOWE HS","m",0
"HUDSON HIGH","m",0
"HUNTLEY PROJECT HIGH SCHL","m",3
"IGNACIO HIGH SCHOOL","m",5
"ILLINOIS VALLEY HIGH SCHOOL","m",3
"INDEPENDENCE HIGH SCHOOL","m",5
"IRAAN H S","m",4
"IRONTON HIGH SCHOOL","m",4
"IRVINE HIGH","m",4
"JACKSON HOLE HIGH SCHOOL","m",3
"JEFFERSON HIGH","m",4
"JERICHO SENIOR HIGH SCHOOL","m",2
"JOSEPH CASE HIGH","m",3
"JUDITH GAP HIGH SCHOOL","m",4
"JULIAN HIGH","m",5
"KALKASKA HIGH SCHOOL","m",2
"KENYON-WANAMINGO SENIOR HIGH","m",3
"KETCHUM HS","m",6
"KEYSTONE HIGH SCHOOL","m",3
"LA FERIA H S","m",5
"LA JOLLA HIGH","m",5
"LAINGSBURG HIGH SCHOOL","m",2
"LANDER VALLEY HIGH SCHOOL","m",4
"LATHROP HIGH","m",2
"LATHROP HIGH SCHOOL","m",3
"LATTA HS","m",3
"LAUREL HIGH SCHOOL","m",3
"LAWSON HIGH","m",7
"LEAVENWORTH SR HIGH","m",6
"LEBANON HIGH SCHOOL","m",7
"LEBANON SR. HIGH","m",3
"LEHIGH SENIOR HIGH SCHOOL","m",3
"LEOMINSTER HIGH SCHOOL","m",6
"LEVERETTS CHAPEL H S","m",4
"LINCOLN SENIOR HIGH SCHOOL","m",7
"LITTLE MIAMI HIGH SCHOOL","m",4
"LOMPOC HIGH","m",6
"LONGMONT HIGH SCHOOL","m",3
"LOUISIANA HIGH","m",4
"LOVELL HIGH SCHOOL","m",2
"LURAY HIGH","m",4
"LYNNVILLE-SULLY HIGH SCHOOL","m",3
"LYONS SENIOR HIGH SCHOOL","m",3
"MACON SR. HIGH","m",3
"MADRAS HIGH SCHOOL","m",3
"MARATHON HIGH","m",4
"MARINETTE HIGH","m",3
"MARTINSVILLE HIGH","m",1
"MAY-PORT CG HIGH SCHOOL","m",5
"MCGREGOR H S","m",5
"MCLOUTH HIGH","m",4
"MEMORIAL HS","m",4
"MIDDLE CREEK HIGH","m",6
"MIDLAND H S","m",2
"MILLER PLACE HIGH SCHOOL","m",3
"MILTON HIGH","m",5
"MIRA MESA HIGH","m",4
"MOHONASEN SENIOR HIGH SCHOOL","m",3
"MONROE-WOODBURY HIGH SCHOOL","m",2
"MONTE VISTA HIGH","m",8
"MOORE HS","m",4
"MORENCI HIGH SCHOOL","m",6
"MOUNDS HS","m",2
"MOUNTAIN VIEW HIGH SCHOOL","m",3
"NANTUCKET HIGH","m",5
"NASHOBA REGIONAL","m",0
"NELSON COUNTY HIGH","m",2
"NEVADA HIGH SCHOOL","m",3
"NEW LONDON HIGH","m",9
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","m",2
"NEX GEN ACADEMY","m",0
"NISKAYUNA HIGH SCHOOL","m",3
"NORTH ANDREW HIGH","m",5
"NORTH CARROLL HIGH","m",0
"NORTH FORT MYERS HIGH SCHOOL","m",7
"NORTH HS","m",4
"NORTHBRIDGE HIGH","m",4
"NORTHGLENN HIGH SCHOOL","m",4
"OAK CREEK HIGH","m",5
"OAK GROVE HIGH","m",5
"OAKDALE HIGH","m",7
"OLTON H S","m",5
"OMRO HIGH","m",6
"ONTARIO HIGH SCHOOL","m",4
"OOLOGAH-TALALA HS","m",4
"PALACIOS H S","m",3
"PARK HILL HIGH","m",4
"PARK VISTA COMMUNITY HIGH SCHOOL","m",3
"PEKIN COMMUNITY HIGH SCHOOL","m",5
"PELLA HIGH SCHOOL","m",4
"PENTUCKET REGIONAL SR HIGH","m",2
"PERRY CENTRAL HIGH SCHOOL","m",4
"PIEDMONT HS","m",4
"PIERCE COUNTY HIGH SCHOOL","m",3
"PINE BUSH SENIOR HIGH SCHOOL","m",0
"PITTSFIELD HIGH SCHOOL","m",0
"PLAINWELL HIGH SCHOOL","m",1
"PLATTE CANYON HIGH SCHOOL","m",5
"PLEASANT GROVE H S","m",5
"PLYMOUTH-WHITEMARSH SHS","m",2
"PORT JERVIS SENIOR HIGH SCHOOL","m",3
"PORTSMOUTH HIGH SCHOOL","m",2
"POWDER RIVER CO DIST HIGH","m",2
"PRIOR LAKE HIGH SCHOOL","m",7
"QUANAH H S","m",6
"QUEEN CITY H S","m",4
"QUINCY HIGH","m",4
"RAINIER SENIOR HIGH SCHOOL","m",5
"RANCHO BUENA VISTA HIGH","m",4
"RANCHO VERDE HIGH","m",5
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","m",3
"RED RIVER HIGH SCHOOL","m",9
"RHAM HIGH SCHOOL","m",6
"RICE LAKE HIGH","m",3
"RIO RANCHO HIGH","m",5
"RIVERDALE HIGH SCHOOL","m",3
"ROBERTSDALE HIGH SCH","m",4
"ROGERS H S","m",6
"ROSEMONT HIGH","m",3
"RUSK H S","m",3
"SALIDA HIGH SCHOOL","m",1
"SAN JON HIGH","m",5
"SAUK PRAIRIE HIGH","m",4
"SAVAGE HIGH SCHOOL","m",4
"SAYRE HS","m",3
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","m",4
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","m",4
"SHADOW HILLS HIGH","m",3
"SHAWANO HIGH","m",5
"SHELBY CO HIGH SCH","m",3
"SHERIDAN HIGH SCHOOL","m",5
"SIMSBURY HIGH SCHOOL","m",3
"SINTON H S","m",5
"SKIATOOK HS","m",5
"SLEEPY HOLLOW HIGH SCHOOL","m",5
"SOMERSET HIGH","m",4
"SOROCO HIGH SCHOOL","m",0
"SOUTH ALBANY HIGH SCHOOL","m",6
"SOUTH CENTRAL CALHOUN HIGH SCHOOL","m",3
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","m",1
"SOUTH JEFFERSON HIGH SCHOOL","m",6
"SOUTH SENIOR HIGH","m",0
"SOUTHERN COLUMBIA HS","m",4
"SPAULDING UHSD #41","m",0
"SPENCER HIGH SCHOOL","m",6
"SPENCERPORT HIGH SCHOOL","m",3
"SUTTON HIGH SCHOOL","m",0
"SYMMES VALLEY HIGH SCHOOL","m",4
"TACONIC HIGH","m",5
"TARKINGTON H S","m",3
"TATUM H S","m",3
"TEAGUE H S","m",6
"TEXAS H S","m",3
"TGU-GRANVILLE HIGH SCHOOL","m",4
"THOMAS JEFFERSON HIGH SCHOOL","m",4
"THUNDER RIDGE HIGH SCHOOL","m",6
"TIPTON HIGH SCHOOL","m",7
"TOMAHAWK HIGH","m",5
"TURNERS FALL HIGH","m",1
"TURPIN HS","m",3
"TWIN VALLEY HIGH SCHOOL","m",4
"UNION HIGH SCHOOL","m",0
"UNIONVILLE-SEBEWAING HIGH SCHOOL","m",4
"WACONIA SENIOR HIGH","m",11
"WALPOLE HIGH","m",8
"WARRENTON HIGH SCHOOL","m",7
"WASHINGTON HIGH","m",0
"WAYZATA HIGH","m",0
"WEATHERFORD H S","m",4
"WELDON VALLEY HIGH SCHOOL","m",2
"WEST DELAWARE HIGH SCHOOL","m",4
"WEST HEMPSTEAD HIGH SCHOOL","m",2
"WEST ISLIP SENIOR HIGH SCHOOL","m",2
"WEST SENECA EAST SENIOR HIGH SCHOOL","m",5
"WEST STOKES HIGH","m",5
"WESTHILL HIGH SCHOOL","m",1
"WESTON HIGH","m",3
"WESTON RANCH HIGH","m",5
"WHARTON H S","m",4
"WHITMAN HANSON REGIONAL","m",2
"WINDTHORST H S","m",2
"ADM SENIOR HIGH SCHOOL","c",1
"AGWSR HIGH SCHOOL","c",4
"AKRON EARLY COLLEGE HIGH SCHOOL","c",3
"AKRON WESTFIELD SENIOR HIGH SCHOOL","c",2
"ALVARADO H S","c",3
"AMITY REGIONAL HIGH SCHOOL","c",2
"AMSTERDAM HIGH SCHOOL","c",2
"ANAMOSA HIGH SCHOOL","c",4
"APPOQUINIMINK HIGH SCHOOL","c",1
"APS ONLINE SCHOOL","c",0
"ARCADIA HIGH SCHOOL","c",4
"ATASCADERO HIGH","c",0
"ATHENS HIGH","c",0
"ATHOL HIGH","c",0
"AZLE H S","c",2
"BANKS COUNTY HIGH SCHOOL","c",2
"BARABOO HIGH","c",1
"BARBERS HILL H S","c",2
"BARNES COUNTY NORTH HIGH SCHOOL","c",4
"BASTROP H S","c",2
"BATESVILLE HIGH SCHOOL","c",0
"BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL","c",5
"BEGGS HS","c",4
"BELLPORT SENIOR HIGH SCHOOL","c",2
"BELTON H S","c",3
"BERRYVILLE HIGH SCHOOL","c",5
"BIG PINEY HIGH SCHOOL","c",1
"BINGHAMTON HIGH SCHOOL","c",7
"BLUE RIDGE H S","c",2
"BONNEY LAKE HIGH SCHOOL","c",3
"BORGER H S","c",3
"BOWLEGS HS","c",1
"BREMOND H S","c",4
"BRINDLEE MT HIGH SCH","c",2
"BROOKFIELD HIGH","c",4
"BUTLER HIGH SCHOOL","c",4
"BYRON NELSON H S","c",3
"CABOOL HIGH","c",3
"CALERA HIGH SCH","c",3
"CALHOUN HIGH SCHOOL","c",4
"CARMEL HIGH SCHOOL","c",0
"CARROLLTON HIGH SCHOOL","c",4
"CEDAR CITY HIGH","c",4
"CEDAR GROVE-BELGIUM HIGH","c",2
"CELINA H S","c",2
"CENTRAL HIGH SCHOOL","c",3
"CENTRALIA HIGH","c",6
"CENTURY HIGH","c",1
"CHANHASSEN HIGH SCHOOL","c",5
"CHASE HIGH","c",3
"CHILLICOTHE HIGH","c",5
"CHRISTIANSBURG HIGH","c",4
"CIMARRON HS","c",1
"CLEAR BROOK H S","c",2
"CLEARWATER HIGH","c",3
"COE-BROWN NORTHWOOD ACADEMY","c",3
"COLCHESTER HIGH SCHOOL","c",0
"COLUMBIA HIGH SCHOOL","c",4
"COMO PARK SENIOR HIGH","c",0
"CONNALLY HIGH SCHOOL","c",1
"CORNWALL CENTRAL HIGH SCHOOL","c",1
"CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES","c",3
"CREEKVIEW H S","c",5
"CUBA HIGH","c",5
"CURRITUCK COUNTY HIGH","c",2
"DANVERS HIGH","c",5
"DAPHNE HIGH SCH","c",2
"DARLINGTON HIGH","c",4
"DAVID PROUTY HIGH","c",5
"DAWSON HIGH SCHOOL","c",1
"DEL MAR HIGH","c",4
"DEPEW HIGH SCHOOL","c",3
"DEXTER HIGH","c",0
"DODGEVILLE HIGH","c",0
"DOUGLAS HIGH SCHOOL","c",4
"DOVER HS","c",3
"EAST COWETA HIGH SCHOOL","c",5
"EAST HAMPTON HIGH SCHOOL","c",3
"EAST HIGH","c",0
"EAST LAURENS HIGH SCHOOL","c",4
"EASTERN HIGH SCHOOL","c",2
"ELGIN HS","c",2
"ELKO HIGH SCHOOL","c",4
"ELSBERRY HIGH","c",4
"EMPORIA HIGH","c",11
"EXCELSIOR SPRINGS HIGH","c",6
"FLOYD HIGH","c",2
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","c",2
"FONTANA A. B. MILLER HIGH","c",1
"FONTANA HIGH","c",1
"FREEPORT AREA SHS","c",3
"FRONTENAC SR. HIGH SCHOOL","c",9
"FRUITVALE H S","c",2
"G.F.W. HIGH SCHOOL","c",4
"GATEWAY HIGH SCHOOL","c",3
"GEORGE MASON HIGH","c",9
"GIRARD HS","c",2
"GLASGOW HIGH SCHOOL","c",4
"GLEN ROSE H S","c",2
"GOSHEN CENTRAL HIGH SCHOOL","c",6
"GRANBURY H S","c",4
"GRAND LEDGE HIGH SCHOOL","c",2
"GRANDVIEW SR. HIGH","c",6
"GRANTSBURG HIGH","c",3
"GRIFFIN HIGH SCHOOL","c",4
"GUYMON HS","c",2
"HALLSVILLE H S","c",2
"HAMILTON HIGH SCHOOL","c",1
"HANOVER HIGH","c",3
"HARLOWTON HIGH SCHOOL","c",1
"HART HIGH SCHOOL","c",3
"HENRIETTA H S","c",2
"HICKSVILLE HIGH SCHOOL","c",3
"HIGLEY HIGH SCHOOL","c",6
"HILLDALE HS","c",3
"HILLIARD BRADLEY HIGH SCHOOL","c",6
"HINTON HS","c",2
"HOMINY HS","c",2
"HORIZON HIGH SCHOOL","c",0
"HORLICK HIGH","c",5
"HORN H S","c",4
"HOWE HS","c",0
"HUDSON HIGH","c",0
"HUNTLEY PROJECT HIGH SCHL","c",1
"IGNACIO HIGH SCHOOL","c",5
"ILLINOIS VALLEY HIGH SCHOOL","c",1
"INDEPENDENCE HIGH SCHOOL","c",4
"IRAAN H S","c",1
"IRONTON HIGH SCHOOL","c",3
"IRVINE HIGH","c",3
"JACKSON HOLE HIGH SCHOOL","c",0
"JEFFERSON HIGH","c",3
"JERICHO SENIOR HIGH SCHOOL","c",0
"JOSEPH CASE HIGH","c",3
"JUDITH GAP HIGH SCHOOL","c",3
"JULIAN HIGH","c",3
"KALKASKA HIGH SCHOOL","c",2
"KENYON-WANAMINGO SENIOR HIGH","c",2
"KETCHUM HS","c",4
"KEYSTONE HIGH SCHOOL","c",3
"LA FERIA H S","c",2
"LA JOLLA HIGH","c",3
"LAINGSBURG HIGH SCHOOL","c",2
"LANDER VALLEY HIGH SCHOOL","c",3
"LATHROP HIGH","c",2
"LATHROP HIGH SCHOOL","c",4
"LATTA HS","c",2
"LAUREL HIGH SCHOOL","c",1
"LAWSON HIGH","c",3
"LEAVENWORTH SR HIGH","c",4
"LEBANON HIGH SCHOOL","c",4
"LEBANON SR. HIGH","c",2
"LEHIGH SENIOR HIGH SCHOOL","c",1
"LEOMINSTER HIGH SCHOOL","c",6
"LEVERETTS CHAPEL H S","c",2
"LINCOLN SENIOR HIGH SCHOOL","c",4
"LITTLE MIAMI HIGH SCHOOL","c",3
"LOMPOC HIGH","c",4
"LONGMONT HIGH SCHOOL","c",3
"LOUISIANA HIGH","c",2
"LOVELL HIGH SCHOOL","c",1
"LURAY HIGH","c",4
"LYNNVILLE-SULLY HIGH SCHOOL","c",3
"LYONS SENIOR HIGH SCHOOL","c",3
"MACON SR. HIGH","c",2
"MADRAS HIGH SCHOOL","c",2
"MARATHON HIGH","c",3
"MARINETTE HIGH","c",3
"MARTINSVILLE HIGH","c",1
"MAY-PORT CG HIGH SCHOOL","c",5
"MCGREGOR H S","c",2
"MCLOUTH HIGH","c",2
"MEMORIAL HS","c",3
"MIDDLE CREEK HIGH","c",5
"MIDLAND H S","c",2
"MILLER PLACE HIGH SCHOOL","c",3
"MILTON HIGH","c",1
"MIRA MESA HIGH","c",2
"MOHONASEN SENIOR HIGH SCHOOL","c",3
"MONROE-WOODBURY HIGH SCHOOL","c",3
"MONTE VISTA HIGH","c",8
"MOORE HS","c",2
"MORENCI HIGH SCHOOL","c",5
"MOUNDS HS","c",1
"MOUNTAIN VIEW HIGH SCHOOL","c",3
"NANTUCKET HIGH","c",3
"NASHOBA REGIONAL","c",0
"NELSON COUNTY HIGH","c",2
"NEVADA HIGH SCHOOL","c",2
"NEW LONDON HIGH","c",6
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","c",2
"NEX GEN ACADEMY","c",0
"NISKAYUNA HIGH SCHOOL","c",3
"NORTH ANDREW HIGH","c",1
"NORTH CARROLL HIGH","c",0
"NORTH FORT MYERS HIGH SCHOOL","c",2
"NORTH HS","c",3
"NORTHBRIDGE HIGH","c",3
"NORTHGLENN HIGH SCHOOL","c",3
"OAK CREEK HIGH","c",4
"OAK GROVE HIGH","c",3
"OAKDALE HIGH","c",5
"OLTON H S","c",2
"OMRO HIGH","c",4
"ONTARIO HIGH SCHOOL","c",2
"OOLOGAH-TALALA HS","c",4
"PALACIOS H S","c",2
"PARK HILL HIGH","c",4
"PARK VISTA COMMUNITY HIGH SCHOOL","c",2
"PEKIN COMMUNITY HIGH SCHOOL","c",2
"PELLA HIGH SCHOOL","c",3
"PENTUCKET REGIONAL SR HIGH","c",1
"PERRY CENTRAL HIGH SCHOOL","c",4
"PIEDMONT HS","c",3
"PIERCE COUNTY HIGH SCHOOL","c",2
"PINE BUSH SENIOR HIGH SCHOOL","c",0
"PITTSFIELD HIGH SCHOOL","c",0
"PLAINWELL HIGH SCHOOL","c",0
"PLATTE CANYON HIGH SCHOOL","c",4
"PLEASANT GROVE H S","c",4
"PLYMOUTH-WHITEMARSH SHS","c",1
"PORT JERVIS SENIOR HIGH SCHOOL","c",3
"PORTSMOUTH HIGH SCHOOL","c",1
"POWDER RIVER CO DIST HIGH","c",2
"PRIOR LAKE HIGH SCHOOL","c",7
"QUANAH H S","c",4
"QUEEN CITY H S","c",4
"QUINCY HIGH","c",4
"RAINIER SENIOR HIGH SCHOOL","c",4
"RANCHO BUENA VISTA HIGH","c",4
"RANCHO VERDE HIGH","c",3
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","c",3
"RED RIVER HIGH SCHOOL","c",9
"RHAM HIGH SCHOOL","c",6
"RICE LAKE HIGH","c",3
"RIO RANCHO HIGH","c",3
"RIVERDALE HIGH SCHOOL","c",1
"ROBERTSDALE HIGH SCH","c",4
"ROGERS H S","c",4
"ROSEMONT HIGH","c",3
"RUSK H S","c",2
"SALIDA HIGH SCHOOL","c",0
"SAN JON HIGH","c",3
"SAUK PRAIRIE HIGH","c",4
"SAVAGE HIGH SCHOOL","c",1
"SAYRE HS","c",3
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","c",4
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","c",4
"SHADOW HILLS HIGH","c",0
"SHAWANO HIGH","c",4
"SHELBY CO HIGH SCH","c",2
"SHERIDAN HIGH SCHOOL","c",4
"SIMSBURY HIGH SCHOOL","c",3
"SINTON H S","c",2
"SKIATOOK HS","c",3
"SLEEPY HOLLOW HIGH SCHOOL","c",5
"SOMERSET HIGH","c",4
"SOROCO HIGH SCHOOL","c",0
"SOUTH ALBANY HIGH SCHOOL","c",4
"SOUTH CENTRAL CALHOUN HIGH SCHOOL","c",0
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","c",0
"SOUTH JEFFERSON HIGH SCHOOL","c",3
"SOUTH SENIOR HIGH","c",0
"SOUTHERN COLUMBIA HS","c",2
"SPAULDING UHSD #41","c",0
"SPENCER HIGH SCHOOL","c",3
"SPENCERPORT HIGH SCHOOL","c",3
"SUTTON HIGH SCHOOL","c",0
"SYMMES VALLEY HIGH SCHOOL","c",3
"TACONIC HIGH","c",5
"TARKINGTON H S","c",1
"TATUM H S","c",1
"TEAGUE H S","c",4
"TEXAS H S","c",3
"TGU-GRANVILLE HIGH SCHOOL","c",4
"THOMAS JEFFERSON HIGH SCHOOL","c",3
"THUNDER RIDGE HIGH SCHOOL","c",6
"TIPTON HIGH SCHOOL","c",4
"TOMAHAWK HIGH","c",5
"TURNERS FALL HIGH","c",1
"TURPIN HS","c",2
"TWIN VALLEY HIGH SCHOOL","c",3
"UNION HIGH SCHOOL","c",0
"UNIONVILLE-SEBEWAING HIGH SCHOOL","c",2
"WACONIA SENIOR HIGH","c",8
"WALPOLE HIGH","c",8
"WARRENTON HIGH SCHOOL","c",5
"WASHINGTON HIGH","c",0
"WAYZATA HIGH","c",0
"WEATHERFORD H S","c",3
"WELDON VALLEY HIGH SCHOOL","c",2
"WEST DELAWARE HIGH SCHOOL","c",3
"WEST HEMPSTEAD HIGH SCHOOL","c",2
"WEST ISLIP SENIOR HIGH SCHOOL","c",2
"WEST SENECA EAST SENIOR HIGH SCHOOL","c",5
"WEST STOKES HIGH","c",3
"WESTHILL HIGH SCHOOL","c",2
"WESTON HIGH","c",0
"WESTON RANCH HIGH","c",4
"WHARTON H S","c",2
"WHITMAN HANSON REGIONAL","c",1
"WINDTHORST H S","c",0
